date,baseline_start_equity,baseline_end_equity,baseline_day_pnl,baseline_day_return_pct,baseline_drawdown_pct,rule_active,soxl_macd_hist_lag1,rule_start_equity,rule_end_equity,rule_day_pnl,rule_day_return_pct,rule_drawdown_pct
2026-03-16,10000.0,9999.0001,-0.9999,-0.01,0.01,True,-1.4343,10000.0,9999.0001,-0.9999,-0.01,0.0
2026-03-17,9999.0001,10200.0599,201.0598,2.0108,0.0,True,-1.1115,9999.0001,10200.0599,201.0598,2.0108,0.0
2026-03-18,10200.0599,10138.6249,-61.4349,-0.6023,0.6023,True,-0.7583,10200.0599,10138.6249,-61.4349,-0.6023,0.6023
2026-03-19,10138.6249,10237.2932,98.6682,0.9732,0.0,True,-0.5424,10138.6249,10237.2932,98.6682,0.9732,0.0
2026-03-20,10237.2932,9447.0166,-790.2766,-7.7196,7.7196,True,-0.3105,10237.2932,9447.0166,-790.2766,-7.7196,7.7196
2026-03-23,9447.0166,10310.5277,863.5112,9.1406,0.0,True,-0.3697,9447.0166,10310.5277,863.5112,9.1406,0.0
2026-03-24,10310.5277,10011.176,-299.3517,-2.9034,2.9034,True,-0.2501,10310.5277,10011.176,-299.3517,-2.9034,2.9034
2026-03-25,10011.176,9609.6083,-401.5677,-4.0112,6.7981,True,-0.0214,10011.176,9609.6083,-401.5677,-4.0112,6.7981
2026-03-26,9609.6083,10462.9688,853.3605,8.8803,0.0,False,0.2732,9609.6083,9609.6083,0.0,0.0,6.7981
2026-03-27,10462.9688,9950.3922,-512.5765,-4.899,4.899,True,-0.0548,9609.6083,9138.8376,-470.7708,-4.899,11.364
