Window,Profile,Scenario,CPU Final Equity,CPU Return %,CPU Max Drawdown %,CPU Trades,Delta Return % vs S0,Delta Final Equity vs S0,Delta Trades vs S0,GPU Final Equity,GPU Return %,GPU Max Drawdown %,GPU Trades,CPU-GPU Diff (bps),Start Equity,Start Date,End Date,Data Source,GPU Backend
1m,trailing12_4_adapt,S4_zero_costs,19622.029702066677,96.22029702066676,8.620689844168515,14,0.25491967282422934,25.491967282421683,1,19622.029702066677,96.22029702066676,8.620689844168515,14,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,trailing12_4_adapt,S5_profit_exec_market_close,18758.505121451966,87.58505121451967,8.620689844168508,13,-8.380326133322868,-838.0326133322887,0,18758.505121451966,87.58505121451967,8.620689844168508,13,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,trailing12_4_adapt,S6_runtime_like_bundle,19295.28551117662,92.95285511176618,8.620689844168506,15,-3.01252223607635,-301.25222360763655,2,19295.28551117662,92.95285511176618,8.620689844168506,15,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S0_prev_like_baseline,21359.78091867326,113.59780918673259,8.620689844168508,18,0.0,0.0,0,21359.78091867326,113.59780918673259,8.620689844168508,18,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S1_threshold_5pct,21359.78091867326,113.59780918673259,8.620689844168508,17,0.0,0.0,-1,21359.78091867326,113.59780918673259,8.620689844168508,17,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S2_sequence_rebalance_then_profit,18496.741284778993,84.96741284778993,8.620689844168508,13,-28.63039633894266,-2863.0396338942664,-5,18496.741284778993,84.96741284778993,8.620689844168508,13,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S3_anchor_off,21970.997614871874,119.70997614871872,8.620689844168506,22,6.112166961986134,611.216696198615,4,21970.997614871874,119.70997614871872,8.620689844168506,22,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S4_zero_costs,21396.123321756582,113.96123321756582,8.620689844168515,17,0.3634240308332295,36.342403083323006,-1,21396.123321756582,113.96123321756582,8.620689844168515,17,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S5_profit_exec_market_close,18751.00321985873,87.51003219858728,8.620689844168508,17,-26.087776988145308,-2608.7776988145306,-1,18751.00321985873,87.51003219858728,8.620689844168508,17,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S6_runtime_like_bundle,19287.568940363475,92.87568940363475,8.620689844168506,19,-20.72211978309784,-2072.211978309784,1,19287.568940363475,92.87568940363475,8.620689844168506,19,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,original_composer,S0_prev_like_baseline,21542.679262310245,115.42679262310243,18.894010310229806,15,0.0,0.0,0,21542.679262310245,115.42679262310243,18.894010310229806,15,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,original_composer,S1_threshold_5pct,21542.679262310245,115.42679262310243,18.894010310229806,15,0.0,0.0,0,21542.679262310245,115.42679262310243,18.894010310229806,15,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,original_composer,S2_sequence_rebalance_then_profit,21542.679262310245,115.42679262310243,18.894010310229806,15,0.0,0.0,0,21542.679262310245,115.42679262310243,18.894010310229806,15,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
