window,period,start_equity,v1_final_equity,v1_return_pct,v1_maxdd_pct,v2_final_equity,v2_return_pct,v2_maxdd_pct,m0106_final_equity,m0106_return_pct,m0106_maxdd_pct,meta_cpu_final_equity,meta_cpu_pnl,meta_cpu_return_pct,meta_cpu_maxdd_pct,meta_gpu_final_equity,meta_gpu_return_pct,meta_gpu_maxdd_pct,meta_cpu_gpu_diff_bps,router_days_v1,router_days_v2,router_days_m0106,winner_by_final_equity
1m,2026-02-25 to 2026-03-27,10000.0,19508.989836837496,95.08989836837496,7.999528287601359,14906.13604668267,49.0613604668267,8.27267070067973,16810.788583133068,68.10788583133068,7.068698847574766,16810.788583133068,6810.788583133068,68.10788583133068,7.068698847574766,16810.788583133068,68.10788583133068,7.068698847574766,0.0,2,0,21,runtime_switch_loop.py
2m,2026-01-25 to 2026-03-27,10000.0,21020.108235875323,110.20108235875324,8.66704569580889,16072.359641471796,60.72359641471796,16.376428800803208,19000.8106958482,90.00810695848199,7.068698847574783,21974.474467829525,11974.474467829525,119.74474467829523,7.06869884757477,21974.474467829525,119.74474467829523,7.06869884757477,0.0,2,3,39,meta_router_v2
3m,2025-12-25 to 2026-03-27,10000.0,14624.546478507096,46.245464785070965,22.704213841574788,21200.832441858118,112.00832441858117,16.376428800803186,17277.606026261263,72.77606026261263,9.893362411045333,21121.589372797935,11121.589372797935,111.21589372797933,7.068698847574781,21121.589372797935,111.21589372797933,7.068698847574781,0.0,2,11,50,runtime_switch_loop_v2_controlplane.py
4m,2025-11-25 to 2026-03-27,10000.0,18050.89332677282,80.50893326772821,29.044692603023503,26167.920175110386,161.67920175110388,16.376428800803197,17708.347282379695,77.08347282379695,10.325185577832023,22423.632345443664,12423.632345443664,124.23632345443663,13.953549164913376,22423.632345443664,124.23632345443663,13.953549164913376,0.0,12,11,61,runtime_switch_loop_v2_controlplane.py
5m,2025-10-25 to 2026-03-27,10000.0,22955.068534363105,129.55068534363105,29.044692603023563,23557.666621484233,135.57666621484233,16.376428800803197,19705.586547482577,97.05586547482577,12.806243171288354,24199.766753665102,14199.766753665102,141.99766753665105,13.953549164913378,24199.766753665102,141.99766753665105,13.953549164913378,0.0,20,18,67,meta_router_v2
6m,2025-09-25 to 2026-03-27,10000.0,14832.68094832519,48.3268094832519,29.04469260302352,25037.90044416518,150.3790044416518,17.360492864386565,18621.2991031889,86.212991031889,21.234413930745053,15885.463196033572,5885.463196033572,58.85463196033571,27.449498532154827,15885.463196033572,58.85463196033571,27.449498532154827,0.0,20,20,87,runtime_switch_loop_v2_controlplane.py
1y,2025-03-27 to 2026-03-27,10000.0,23643.357697744024,136.43357697744025,35.42609707057258,45708.51371640169,357.08513716401694,17.36049286438656,19418.06157526601,94.18061575266007,21.234413930745053,20826.497547391362,10826.497547391362,108.26497547391361,27.449508371291586,20826.497547391362,108.26497547391361,27.449508371291586,0.0,32,43,177,runtime_switch_loop_v2_controlplane.py
2y,2024-03-27 to 2026-03-27,10000.0,18241.95401664062,82.41954016640618,45.27001774988935,16345.79110595488,63.45791105954881,74.19558211063527,12988.608771626676,29.88608771626675,47.35542206743855,14878.928654768484,4878.928654768484,48.78928654768484,50.72358593807105,14878.928654768484,48.78928654768484,50.72358593807105,0.0,79,48,375,runtime_switch_loop.py
3y,2023-03-28 to 2026-03-27,10000.0,16919.506419140034,69.19506419140033,73.63070572481278,21993.867075218586,119.93867075218586,74.19558211063534,15221.281657531135,52.21281657531136,53.561105135378256,26816.412090506707,16816.412090506707,168.16412090506705,50.72358593807111,26816.412090506707,168.16412090506705,50.72358593807111,0.0,120,67,566,meta_router_v2
4y,2022-03-28 to 2026-03-27,10000.0,22991.29676854431,129.9129676854431,73.6307057248128,25302.60405151487,153.0260405151487,74.19558211063514,29610.801413840607,196.10801413840608,53.56110513537812,47091.84550873573,37091.84550873573,370.9184550873573,50.723585938071025,47091.84550873573,370.9184550873573,50.723585938071025,0.0,128,78,798,meta_router_v2
5y,2021-03-28 to 2026-03-27,10000.0,18645.208444040833,86.45208444040833,73.63070572481281,21019.21395578334,110.1921395578334,74.19558211063521,26966.192807400857,169.66192807400859,53.56110513537822,48655.37450579504,38655.37450579504,386.5537450579503,50.72358593807126,48655.37450579504,386.5537450579503,50.72358593807126,0.0,150,118,988,meta_router_v2
7y,2019-03-29 to 2026-03-27,10000.0,12228.862836777307,22.28862836777308,73.63070572481281,108408.06956348642,984.0806956348641,74.19558211063521,36277.05830050591,262.77058300505905,53.561105135378135,89702.6496340357,79702.6496340357,797.0264963403571,50.72358593807103,89702.6496340357,797.0264963403571,50.72358593807103,0.0,194,189,1376,runtime_switch_loop_v2_controlplane.py
