candidate_id,lookback_days,vol_penalty,dd_penalty,switch_penalty,min_edge_to_switch,min_hold_days,burst_ret3d_min,burst_rv20_max,burst_dd20_max,burst_v1_bonus,riskoff_rv20_min,riskoff_crossovers20_min,riskoff_dd20_min,riskoff_m0106_bonus,router_days_v1_all,router_days_v2_all,router_days_m0106_all,1m_meta_final,1m_meta_return,1m_meta_dd,1m_best_baseline_final,1m_best_baseline_dd,2m_meta_final,2m_meta_return,2m_meta_dd,2m_best_baseline_final,2m_best_baseline_dd,3m_meta_final,3m_meta_return,3m_meta_dd,3m_best_baseline_final,3m_best_baseline_dd,4m_meta_final,4m_meta_return,4m_meta_dd,4m_best_baseline_final,4m_best_baseline_dd,5m_meta_final,5m_meta_return,5m_meta_dd,5m_best_baseline_final,5m_best_baseline_dd,6m_meta_final,6m_meta_return,6m_meta_dd,6m_best_baseline_final,6m_best_baseline_dd,1y_meta_final,1y_meta_return,1y_meta_dd,1y_best_baseline_final,1y_best_baseline_dd,2y_meta_final,2y_meta_return,2y_meta_dd,2y_best_baseline_final,2y_best_baseline_dd,3y_meta_final,3y_meta_return,3y_meta_dd,3y_best_baseline_final,3y_best_baseline_dd,4y_meta_final,4y_meta_return,4y_meta_dd,4y_best_baseline_final,4y_best_baseline_dd,5y_meta_final,5y_meta_return,5y_meta_dd,5y_best_baseline_final,5y_best_baseline_dd,7y_meta_final,7y_meta_return,7y_meta_dd,7y_best_baseline_final,7y_best_baseline_dd,wins_vs_best_baseline,avg_uplift_pct_vs_best_baseline,avg_dd_over_best_baseline_pct,ranking_score
MRV2-00007,10,1.2,0.08,0.05,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,449,196,1595,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21675.265396564202,116.75265396564201,7.068698847574791,21200.832441858118,9.893362411045333,23011.43979573961,130.11439795739614,13.59711774514948,26167.920175110386,10.325185577832023,24834.133343969923,148.34133343969924,13.597117745149497,23557.666621484233,12.806243171288354,16301.880727064292,63.01880727064293,26.7483246861326,25037.90044416518,17.360492864386565,21633.69194024572,116.33691940245718,26.772949266721042,45708.51371640169,17.36049286438656,11237.348099345598,12.373480993455988,66.07713534265126,18241.95401664062,45.27001774988935,19853.186063051464,98.53186063051464,66.07713534265135,21993.867075218586,53.561105135378256,34863.84262674628,248.6384262674628,66.07713534265137,29610.801413840607,53.56110513537812,32606.744820597876,226.06744820597874,66.0771353426516,26966.192807400857,53.56110513537822,62001.33764739596,520.0133764739596,66.07713534265149,108408.06956348642,53.561105135378135,5,-12.794948587885528,7.811194448926176,9705.04505599766
MRV2-00012,10,1.2,0.16,0.05,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,467,209,1564,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,22423.632345443664,124.23632345443663,13.953549164913376,26167.920175110386,10.325185577832023,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,15885.463196033572,58.85463196033571,27.449498532154827,25037.90044416518,17.360492864386565,20826.497547391362,108.26497547391361,27.449508371291586,45708.51371640169,17.36049286438656,13869.996094667978,38.69996094667978,55.40718615017132,18241.95401664062,45.27001774988935,19111.74657428061,91.11746574280608,66.9193332325847,21993.867075218586,53.561105135378256,33561.81334179087,235.6181334179087,66.91933323258468,29610.801413840607,53.56110513537812,34416.88791064574,244.16887910645738,66.91933323258469,26966.192807400857,53.56110513537822,58792.08191676683,487.9208191676683,66.9193332325847,108408.06956348642,53.561105135378135,4,-12.841943676866252,7.376980962040641,7706.2762216524725
MRV2-00010,10,1.2,0.16,0.0,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,465,208,1567,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,22423.632345443664,124.23632345443663,13.953549164913376,26167.920175110386,10.325185577832023,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,15885.463196033572,58.85463196033571,27.449498532154827,25037.90044416518,17.360492864386565,20826.497547391362,108.26497547391361,27.449508371291586,45708.51371640169,17.36049286438656,13586.811021054502,35.86811021054501,55.40718615017165,18241.95401664062,45.27001774988935,18721.540165888076,87.21540165888075,67.59474445763281,21993.867075218586,53.561105135378256,32876.57849983958,228.76578499839582,67.59474445763274,29610.801413840607,53.56110513537812,33502.68447635304,235.02684476353036,67.59474445763283,26966.192807400857,53.56110513537822,57230.40895734446,472.30408957344457,67.59474445763276,108408.06956348642,53.561105135378135,4,-13.714561648659481,7.602118037056698,7687.698176841526
MRV2-00011,10,1.2,0.16,0.05,0.0,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,465,208,1567,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21121.589372797935,111.21589372797933,7.068698847574781,21200.832441858118,9.893362411045333,22423.632345443664,124.23632345443663,13.953549164913376,26167.920175110386,10.325185577832023,24199.766753665102,141.99766753665105,13.953549164913378,23557.666621484233,12.806243171288354,15885.463196033572,58.85463196033571,27.449498532154827,25037.90044416518,17.360492864386565,20826.497547391362,108.26497547391361,27.449508371291586,45708.51371640169,17.36049286438656,13586.811021054502,35.86811021054501,55.40718615017165,18241.95401664062,45.27001774988935,18721.540165888076,87.21540165888075,67.59474445763281,21993.867075218586,53.561105135378256,32876.57849983958,228.76578499839582,67.59474445763274,29610.801413840607,53.56110513537812,33502.68447635304,235.02684476353036,67.59474445763283,26966.192807400857,53.56110513537822,57230.40895734446,472.30408957344457,67.59474445763276,108408.06956348642,53.561105135378135,4,-13.714561648659481,7.602118037056698,7687.698176841526
MRV2-00008,10,1.2,0.16,0.0,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.1,509,208,1523,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,22211.737691146347,122.11737691146345,7.068698847574766,21020.108235875323,7.068698847574783,21349.64380857073,113.49643808570731,7.068698847574765,21200.832441858118,9.893362411045333,22665.745224936647,126.65745224936646,13.804498960124725,26167.920175110386,10.325185577832023,24461.056946151657,144.61056946151655,13.804498960124729,23557.666621484233,12.806243171288354,16056.982028362854,60.56982028362854,27.156286150902663,25037.90044416518,17.360492864386565,21051.36581196479,110.51365811964793,27.156295884938892,45708.51371640169,17.36049286438656,12371.066951477223,23.71066951477223,63.21422135965717,18241.95401664062,45.27001774988935,16633.510222178913,66.33510222178913,70.80953357871657,21993.867075218586,53.561105135378256,29212.384243272943,192.12384243272945,70.80953357871654,29610.801413840607,53.56110513537812,31525.947150229986,215.25947150229987,70.80953357871654,26966.192807400857,53.56110513537822,53375.492372316716,433.75492372316717,70.80953357871658,108408.06956348642,53.561105135378135,4,-16.47063843778772,9.250590238443236,7624.3342800520295
MRV2-00009,10,1.2,0.16,0.05,0.0,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.1,509,208,1523,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,22211.737691146347,122.11737691146345,7.068698847574766,21020.108235875323,7.068698847574783,21349.64380857073,113.49643808570731,7.068698847574765,21200.832441858118,9.893362411045333,22665.745224936647,126.65745224936646,13.804498960124725,26167.920175110386,10.325185577832023,24461.056946151657,144.61056946151655,13.804498960124729,23557.666621484233,12.806243171288354,16056.982028362854,60.56982028362854,27.156286150902663,25037.90044416518,17.360492864386565,21051.36581196479,110.51365811964793,27.156295884938892,45708.51371640169,17.36049286438656,12371.066951477223,23.71066951477223,63.21422135965717,18241.95401664062,45.27001774988935,16633.510222178913,66.33510222178913,70.80953357871657,21993.867075218586,53.561105135378256,29212.384243272943,192.12384243272945,70.80953357871654,29610.801413840607,53.56110513537812,31525.947150229986,215.25947150229987,70.80953357871654,26966.192807400857,53.56110513537822,53375.492372316716,433.75492372316717,70.80953357871658,108408.06956348642,53.561105135378135,4,-16.47063843778772,9.250590238443236,7624.3342800520295
MRV2-00003,10,0.8,0.16,0.0,0.0,1,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,563,213,1464,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,24696.103055070336,146.96103055070338,7.068698847574776,21020.108235875323,7.068698847574783,24763.038401470167,147.63038401470166,7.068698847574776,21200.832441858118,9.893362411045333,26289.558947008096,162.89558947008095,11.901654836385095,26167.920175110386,10.325185577832023,23663.397478483344,136.63397478483344,12.823746834754202,23557.666621484233,12.806243171288354,15467.446068801954,54.674460688019536,33.827958421496454,25037.90044416518,17.360492864386565,20754.008321027537,107.54008321027536,33.82795842149637,45708.51371640169,17.36049286438656,13005.8100777318,30.058100777317986,58.41974138890978,18241.95401664062,45.27001774988935,9965.543796501523,-0.34456203498477445,80.71024959486739,21993.867075218586,53.561105135378256,17946.177017215752,79.46177017215751,80.7102495948674,29610.801413840607,53.56110513537812,20786.735918256087,107.86735918256088,80.71024959486743,26966.192807400857,53.56110513537822,33107.95108941885,231.0795108941885,80.71024959486739,108408.06956348642,53.561105135378135,4,-23.883945006658134,13.022933792767995,7457.206430902997
MRV2-00004,10,0.8,0.16,0.0,0.0,1,0.12,120.0,18.0,0.1,95.0,8,18.0,0.1,614,213,1413,16579.605109163618,65.79605109163617,8.266644520358794,19508.989836837496,7.068698847574766,24356.48002849162,143.56480028491617,8.266644520358785,21020.108235875323,7.068698847574783,24422.49487399789,144.22494873997888,8.26664452035879,21200.832441858118,9.893362411045333,26899.175985081823,168.99175985081826,11.912050252182443,26167.920175110386,10.325185577832023,24212.105994755635,142.12105994755638,12.371567519648297,23557.666621484233,12.806243171288354,15826.106290380483,58.26106290380484,32.635147672222466,25037.90044416518,17.360492864386565,21235.253717969685,112.35253717969687,32.63514767222245,45708.51371640169,17.36049286438656,12170.956635808529,21.709566358085276,64.21539094688184,18241.95401664062,45.27001774988935,8010.4355264975275,-19.89564473502472,84.46992494508217,21993.867075218586,53.561105135378256,14765.46615952136,47.65466159521361,84.46992494508218,29610.801413840607,53.56110513537812,17102.575410544738,71.02575410544738,84.46992494508218,26966.192807400857,53.56110513537822,29064.083043702085,190.64083043702084,84.46992494508217,108408.06956348642,53.561105135378135,4,-27.122511952825093,14.75939317261656,7383.752795080415
MRV2-00001,10,0.8,0.08,0.0,0.0,1,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,554,208,1478,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,23093.970790235508,130.9397079023551,7.068698847574772,21020.108235875323,7.068698847574783,23156.56378035807,131.56563780358067,7.068698847574759,21200.832441858118,9.893362411045333,24584.05300044816,145.8405300044816,12.727325977632168,26167.920175110386,10.325185577832023,26531.310329455693,165.31310329455695,12.727325977632175,23557.666621484233,12.806243171288354,17638.99933945746,76.38999339457459,25.060216384814478,25037.90044416518,17.360492864386565,23459.026182481728,134.59026182481728,25.060216384814478,45708.51371640169,17.36049286438656,14674.637378995683,46.74637378995683,46.49062714388187,18241.95401664062,45.27001774988935,12030.226727500918,20.30226727500919,74.746569189719,21993.867075218586,53.561105135378256,22207.640475201613,122.07640475201616,74.74656918971901,29610.801413840607,53.56110513537812,25722.71283643055,157.2271283643055,74.74656918971904,26966.192807400857,53.56110513537822,44305.15923481119,343.0515923481119,74.74656918971898,108408.06956348642,53.561105135378135,3,-18.333221806924517,8.647004421000984,5590.100541756505
MRV2-00005,10,1.2,0.08,0.0,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,450,198,1592,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21675.265396564202,116.75265396564201,7.068698847574791,21200.832441858118,9.893362411045333,23011.43979573961,130.11439795739614,13.59711774514948,26167.920175110386,10.325185577832023,24834.133343969923,148.34133343969924,13.597117745149497,23557.666621484233,12.806243171288354,16301.880727064292,63.01880727064293,26.7483246861326,25037.90044416518,17.360492864386565,21789.82716574214,117.89827165742138,26.77294926672098,45708.51371640169,17.36049286438656,10871.780096551898,8.717800965518974,65.36800051971969,18241.95401664062,45.27001774988935,16189.71734486295,61.89717344862948,72.6929167398428,21993.867075218586,53.561105135378256,28430.48747391099,184.30487473910992,72.6929167398427,29610.801413840607,53.56110513537812,26423.072244280585,164.23072244280584,72.69291673984276,26966.192807400857,53.56110513537822,45543.98492517906,355.4398492517906,72.69291673984272,108408.06956348642,53.561105135378135,3,-19.308089736008526,9.95736034607897,5564.051403549435
MRV2-00006,10,1.2,0.08,0.05,0.0,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,450,198,1592,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,21675.265396564202,116.75265396564201,7.068698847574791,21200.832441858118,9.893362411045333,23011.43979573961,130.11439795739614,13.59711774514948,26167.920175110386,10.325185577832023,24834.133343969923,148.34133343969924,13.597117745149497,23557.666621484233,12.806243171288354,16301.880727064292,63.01880727064293,26.7483246861326,25037.90044416518,17.360492864386565,21789.82716574214,117.89827165742138,26.77294926672098,45708.51371640169,17.36049286438656,10871.780096551898,8.717800965518974,65.36800051971969,18241.95401664062,45.27001774988935,16189.71734486295,61.89717344862948,72.6929167398428,21993.867075218586,53.561105135378256,28430.48747391099,184.30487473910992,72.6929167398427,29610.801413840607,53.56110513537812,26423.072244280585,164.23072244280584,72.69291673984276,26966.192807400857,53.56110513537822,45543.98492517906,355.4398492517906,72.69291673984272,108408.06956348642,53.561105135378135,3,-19.308089736008526,9.95736034607897,5564.051403549435
