candidate_id,lookback_days,vol_penalty,dd_penalty,switch_penalty,min_edge_to_switch,min_hold_days,burst_ret3d_min,burst_rv20_max,burst_dd20_max,burst_v1_bonus,riskoff_rv20_min,riskoff_crossovers20_min,riskoff_dd20_min,riskoff_m0106_bonus,router_days_v1_all,router_days_v2_all,router_days_m0106_all,1m_meta_final,1m_meta_return,1m_meta_dd,1m_best_baseline_final,1m_best_baseline_dd,2m_meta_final,2m_meta_return,2m_meta_dd,2m_best_baseline_final,2m_best_baseline_dd,6m_meta_final,6m_meta_return,6m_meta_dd,6m_best_baseline_final,6m_best_baseline_dd,1y_meta_final,1y_meta_return,1y_meta_dd,1y_best_baseline_final,1y_best_baseline_dd,wins_vs_best_baseline,avg_uplift_pct_vs_best_baseline,avg_dd_over_best_baseline_pct,ranking_score
MRV2-00002,10,0.8,0.08,0.0,0.0,1,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,554,208,1478,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,23093.970790235508,130.9397079023551,7.068698847574772,21020.108235875323,7.068698847574783,17638.99933945746,76.38999339457459,25.060216384814478,25037.90044416518,17.360492864386565,23459.026182481728,134.59026182481728,25.060216384814478,45708.51371640169,17.36049286438656,1,-20.54804236343199,3.8498617602139573,1569.7898439302903
MRV2-00001,10,0.8,0.08,0.0,0.0,1,0.12,120.0,18.0,0.1,95.0,8,18.0,0.1,606,208,1426,16579.605109163618,65.79605109163617,8.266644520358794,19508.989836837496,7.068698847574766,22776.380430411908,127.76380430411906,8.26664452035879,21020.108235875323,7.068698847574783,18048.01369020238,80.4801369020238,24.176565792884507,25037.90044416518,17.360492864386565,24002.99572284405,140.0299572284405,24.1765657928845,45708.51371640169,17.36049286438656,1,-20.516100810228426,4.007009300640979,1569.6429372922264
MRV2-00018,10,0.8,0.16,0.0,0.0,1,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,563,213,1464,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,24696.103055070336,146.96103055070338,7.068698847574776,21020.108235875323,7.068698847574783,15467.446068801954,54.674460688019536,33.827958421496454,25037.90044416518,17.360492864386565,20754.008321027537,107.54008321027536,33.82795842149637,45708.51371640169,17.36049286438656,1,-22.290326196078585,8.233732778554923,1513.0248121856537
MRV2-00017,10,0.8,0.16,0.0,0.0,1,0.12,120.0,18.0,0.1,95.0,8,18.0,0.1,614,213,1413,16579.605109163618,65.79605109163617,8.266644520358794,19508.989836837496,7.068698847574766,24356.48002849162,143.56480028491617,8.266644520358785,21020.108235875323,7.068698847574783,15826.106290380483,58.26106290380484,32.635147672222466,25037.90044416518,17.360492864386565,21235.253717969685,112.35253717969687,32.63514767222245,45708.51371640169,17.36049286438656,1,-22.36917342108366,8.236300240309955,1511.4350303767771
MRV2-00040,10,1.2,0.08,0.0,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,450,198,1592,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,16301.880727064292,63.01880727064293,26.7483246861326,25037.90044416518,17.360492864386565,21789.82716574214,117.89827165742138,26.77294926672098,45708.51371640169,17.36049286438656,1,-24.127554232065318,4.7000720560201135,1493.9485550785932
MRV2-00044,10,1.2,0.08,0.05,0.0,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,450,198,1592,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,16301.880727064292,63.01880727064293,26.7483246861326,25037.90044416518,17.360492864386565,21789.82716574214,117.89827165742138,26.77294926672098,45708.51371640169,17.36049286438656,1,-24.127554232065318,4.7000720560201135,1493.9485550785932
MRV2-00048,10,1.2,0.08,0.05,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,449,196,1595,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,16301.880727064292,63.01880727064293,26.7483246861326,25037.90044416518,17.360492864386565,21633.69194024572,116.33691940245718,26.772949266721042,45708.51371640169,17.36049286438656,1,-24.212951465972964,4.7000720560201295,1492.24061040044
MRV2-00055,10,1.2,0.16,0.0,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.1,509,208,1523,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,22211.737691146347,122.11737691146345,7.068698847574766,21020.108235875323,7.068698847574783,16056.982028362854,60.56982028362854,27.156286150902663,25037.90044416518,17.360492864386565,21051.36581196479,110.51365811964793,27.156295884938892,45708.51371640169,17.36049286438656,1,-24.261195650192697,4.897899076767107,1490.2865916123108
MRV2-00059,10,1.2,0.16,0.05,0.0,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.1,509,208,1523,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,22211.737691146347,122.11737691146345,7.068698847574766,21020.108235875323,7.068698847574783,16056.982028362854,60.56982028362854,27.156286150902663,25037.90044416518,17.360492864386565,21051.36581196479,110.51365811964793,27.156295884938892,45708.51371640169,17.36049286438656,1,-24.261195650192697,4.897899076767107,1490.2865916123108
MRV2-00056,10,1.2,0.16,0.0,0.05,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,465,208,1567,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,21974.474467829525,119.74474467829523,7.06869884757477,21020.108235875323,7.068698847574783,15885.463196033572,58.85463196033571,27.449498532154827,25037.90044416518,17.360492864386565,20826.497547391362,108.26497547391361,27.449508371291586,45708.51371640169,17.36049286438656,1,-25.070228833461414,5.044505293668322,1473.37289686243
