rule,rule_size,final_equity,pnl,return_pct,maxdd_pct,active_days,exposure_pct,win_rate_when_active_pct,switches,delta_pnl_vs_baseline,delta_return_pct_vs_baseline,delta_maxdd_pct_vs_baseline,pnl_per_maxdd
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q50,3,32938.04287938376,22938.042879383756,229.38042879383755,10.536765959730609,38,15.079365079365079,65.78947368421053,36,-4969.457365800932,-49.69457365800929,-29.454454600427233,2176.9528683704584
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q50,3,32938.04287938376,22938.042879383756,229.38042879383755,10.536765959730609,38,15.079365079365079,65.78947368421053,36,-4969.457365800932,-49.69457365800929,-29.454454600427233,2176.9528683704584
SOXL_ATRpct_lag1_gt_q50 & SOXL_Px_lt_EMA20_lag1,2,32730.90696399412,22730.90696399412,227.30906963994119,18.135619488082384,63,25.0,61.904761904761905,19,-5176.5932811905695,-51.76593281190566,-21.85560107207546,1253.384643349596
SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q50 & SOXL_Px_lt_EMA20_lag1,3,32730.90696399412,22730.90696399412,227.30906963994119,18.135619488082384,63,25.0,61.904761904761905,19,-5176.5932811905695,-51.76593281190566,-21.85560107207546,1253.384643349596
SOXS_VolZ20_lag1_gt_0.5 & SOXL_ATRpct_lag1_gt_q40,2,32646.208837114755,22646.208837114755,226.46208837114753,21.385398749214826,62,24.6031746031746,61.29032258064516,50,-5261.291408069934,-52.61291408069931,-18.605821810943016,1058.9565854106986
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q50 & SOXL_MACD_hist_lag1_lt_0,3,32494.8186206423,22494.8186206423,224.948186206423,11.358119330522543,42,16.666666666666664,73.80952380952381,14,-5412.681624542387,-54.12681624542384,-28.6331012296353,1980.505571920893
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q60 & SOXL_MACD_hist_lag1_lt_0,3,32247.471103307256,22247.471103307256,222.47471103307257,11.358119330522543,41,16.26984126984127,73.17073170731707,12,-5660.029141877432,-56.600291418774276,-28.6331012296353,1958.7284176106411
SOXL_RSI14_lag1_lt_45 & SOXL_Px_lt_EMA20_lag1,2,32064.481503453622,22064.481503453622,220.64481503453624,15.998441898455484,54,21.428571428571427,68.51851851851852,16,-5843.018741731066,-58.430187417310606,-23.99277866170236,1379.164398852101
SOXL_RSI14_lag1_lt_40 & SOXL_MACD_hist_lag1_lt_0,2,31875.280230445605,21875.280230445605,218.75280230445605,10.582873875197516,40,15.873015873015872,77.5,18,-6032.220014739083,-60.32220014739079,-29.40834668496033,2067.045349724281
SOXL_RSI14_lag1_lt_40 & SOXL_RSI14_lag1_lt_45 & SOXL_MACD_hist_lag1_lt_0,3,31875.280230445605,21875.280230445605,218.75280230445605,10.582873875197516,40,15.873015873015872,77.5,18,-6032.220014739083,-60.32220014739079,-29.40834668496033,2067.045349724281
SOXL_RSI14_lag1_lt_40 & SOXL_MACD_hist_lag1_lt_0 & SOXL_Px_lt_EMA20_lag1,3,31875.280230445605,21875.280230445605,218.75280230445605,10.582873875197516,40,15.873015873015872,77.5,18,-6032.220014739083,-60.32220014739079,-29.40834668496033,2067.045349724281
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q40,2,31029.871503803406,21029.871503803406,210.2987150380341,22.891065349052706,52,20.634920634920633,67.3076923076923,20,-6877.628741381282,-68.77628741381275,-17.100155211105136,918.6934370738529
SOXL_ATRpct_lag1_gt_q50 & SOXL_MACD_hist_lag1_lt_0,2,30948.267139408716,20948.267139408716,209.48267139408716,26.405364440250658,84,33.33333333333333,63.095238095238095,14,-6959.233105775973,-69.59233105775968,-13.585856119907184,793.3337631756565
SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q50 & SOXL_MACD_hist_lag1_lt_0,3,30948.267139408716,20948.267139408716,209.48267139408716,26.405364440250658,84,33.33333333333333,63.095238095238095,14,-6959.233105775973,-69.59233105775968,-13.585856119907184,793.3337631756565
SOXL_ATRpct_lag1_gt_q60 & SOXL_Px_lt_EMA20_lag1,2,29415.19855877552,19415.19855877552,194.1519855877552,18.135619488082384,59,23.41269841269841,62.71186440677966,21,-8492.30168640917,-84.92301686409164,-21.85560107207546,1070.556126937599
SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q60 & SOXL_Px_lt_EMA20_lag1,3,29415.19855877552,19415.19855877552,194.1519855877552,18.135619488082384,59,23.41269841269841,62.71186440677966,21,-8492.30168640917,-84.92301686409164,-21.85560107207546,1070.556126937599
SOXL_ATRpct_lag1_gt_q50 & SOXL_ATRpct_lag1_gt_q60 & SOXL_Px_lt_EMA20_lag1,3,29415.19855877552,19415.19855877552,194.1519855877552,18.135619488082384,59,23.41269841269841,62.71186440677966,21,-8492.30168640917,-84.92301686409164,-21.85560107207546,1070.556126937599
SOXS_VolZ20_lag1_gt_1.0 & SOXL_MACD_hist_lag1_lt_0,2,29305.581671541015,19305.581671541015,193.05581671541017,10.536765959730616,36,14.285714285714285,66.66666666666666,38,-8601.918573643674,-86.01918573643667,-29.454454600427226,1832.2113013920055
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.0 & SOXL_MACD_hist_lag1_lt_0,3,29305.581671541015,19305.581671541015,193.05581671541017,10.536765959730616,36,14.285714285714285,66.66666666666666,38,-8601.918573643674,-86.01918573643667,-29.454454600427226,1832.2113013920055
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q50,2,28545.757856054966,18545.757856054966,185.45757856054968,25.539439107127144,48,19.047619047619047,68.75,16,-9361.742389129722,-93.61742389129716,-14.451781453030698,726.1615174187403
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q50,3,28545.757856054966,18545.757856054966,185.45757856054968,25.539439107127144,48,19.047619047619047,68.75,16,-9361.742389129722,-93.61742389129716,-14.451781453030698,726.1615174187403
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q40 & SOXL_MACD_hist_lag1_lt_0,3,28436.420781591056,18436.420781591056,184.36420781591053,10.536765959730621,32,12.698412698412698,68.75,30,-9471.079463593633,-94.71079463593631,-29.45445460042722,1749.7229085329702
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q60,2,28328.47021956829,18328.47021956829,183.28470219568288,25.539439107127144,47,18.650793650793652,68.08510638297872,14,-9579.030025616397,-95.79030025616396,-14.451781453030698,717.6535922612909
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q60,3,28328.47021956829,18328.47021956829,183.28470219568288,25.539439107127144,47,18.650793650793652,68.08510638297872,14,-9579.030025616397,-95.79030025616396,-14.451781453030698,717.6535922612909
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q50 & SOXL_ATRpct_lag1_gt_q60,3,28328.47021956829,18328.47021956829,183.28470219568288,25.539439107127144,47,18.650793650793652,68.08510638297872,14,-9579.030025616397,-95.79030025616396,-14.451781453030698,717.6535922612909
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q40 & SOXL_Px_lt_EMA20_lag1,3,28025.506977861674,18025.506977861674,180.25506977861676,22.891065349052706,46,18.253968253968253,67.3913043478261,14,-9881.993267323014,-98.81993267323008,-17.100155211105136,787.4472726804573
SOXL_RSI14_lag1_lt_40 & SOXL_ATRpct_lag1_gt_q40 & SOXL_MACD_hist_lag1_lt_0,3,27860.138278656745,17860.138278656745,178.60138278656743,10.582873875197512,32,12.698412698412698,78.125,16,-10047.361966527944,-100.47361966527941,-29.40834668496033,1687.645387186797
SOXS_RSI14_lag1_gt_55 & SOXL_MACD_hist_lag1_lt_0 & SOXL_Px_lt_EMA20_lag1,3,27853.899900288692,17853.899900288692,178.5389990028869,10.5828738751975,35,13.88888888888889,77.14285714285715,18,-10053.600344895996,-100.53600344895995,-29.408346684960343,1687.0559085213986
SOXS_RSI14_lag1_gt_55 & SOXL_MACD_hist_lag1_lt_0,2,27593.89546426945,17593.89546426945,175.9389546426945,10.5828738751975,36,14.285714285714285,75.0,18,-10313.604780915237,-103.13604780915233,-29.408346684960343,1662.4874936385002
SOXL_RSI14_lag1_lt_45 & SOXS_RSI14_lag1_gt_55 & SOXL_MACD_hist_lag1_lt_0,3,27593.89546426945,17593.89546426945,175.9389546426945,10.5828738751975,36,14.285714285714285,75.0,18,-10313.604780915237,-103.13604780915233,-29.408346684960343,1662.4874936385002
SOXS_RSI14_lag1_gt_55 & SOXL_Px_lt_EMA20_lag1,2,27558.63102222993,17558.63102222993,175.5863102222993,10.582873875197505,37,14.682539682539684,75.67567567567568,20,-10348.86922295476,-103.48869222954755,-29.408346684960335,1659.155275712122
SOXL_RSI14_lag1_lt_45 & SOXS_RSI14_lag1_gt_55 & SOXL_Px_lt_EMA20_lag1,3,27558.63102222993,17558.63102222993,175.5863102222993,10.582873875197505,37,14.682539682539684,75.67567567567568,20,-10348.86922295476,-103.48869222954755,-29.408346684960335,1659.155275712122
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q50 & SOXL_MACD_hist_lag1_lt_0,3,27459.747054837622,17459.747054837622,174.59747054837624,10.536765959730614,31,12.3015873015873,67.74193548387096,28,-10447.753190347066,-104.4775319034706,-29.454454600427226,1657.0309259563362
SOXS_RSI14_lag1_gt_55,1,27301.382796952763,17301.382796952763,173.01382796952765,10.582873875197501,38,15.079365079365079,73.68421052631578,20,-10606.117448231926,-106.06117448231919,-29.408346684960343,1634.8473014972863
SOXL_RSI14_lag1_lt_45 & SOXS_RSI14_lag1_gt_55,2,27301.382796952763,17301.382796952763,173.01382796952765,10.582873875197501,38,15.079365079365079,73.68421052631578,20,-10606.117448231926,-106.06117448231919,-29.408346684960343,1634.8473014972863
SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q40,2,27096.76604182781,17096.76604182781,170.96766041827811,6.520673077638175,27,10.714285714285714,77.77777777777779,36,-10810.734203356878,-108.10734203356873,-33.47054748251966,2621.9327112808355
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q40,3,27096.76604182781,17096.76604182781,170.96766041827811,6.520673077638175,27,10.714285714285714,77.77777777777779,36,-10810.734203356878,-108.10734203356873,-33.47054748251966,2621.9327112808355
SOXS_VolZ20_lag1_gt_1.0 & SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q40,3,27096.76604182781,17096.76604182781,170.96766041827811,6.520673077638175,27,10.714285714285714,77.77777777777779,36,-10810.734203356878,-108.10734203356873,-33.47054748251966,2621.9327112808355
SOXL_RSI14_lag1_lt_40,1,27015.11808597816,17015.11808597816,170.1511808597816,15.998441898455503,44,17.46031746031746,72.72727272727273,20,-10892.382159206529,-108.92382159206525,-23.99277866170234,1063.548450153812
SOXL_RSI14_lag1_lt_40 & SOXL_RSI14_lag1_lt_45,2,27015.11808597816,17015.11808597816,170.1511808597816,15.998441898455503,44,17.46031746031746,72.72727272727273,20,-10892.382159206529,-108.92382159206525,-23.99277866170234,1063.548450153812
SOXL_RSI14_lag1_lt_40 & SOXL_Px_lt_EMA20_lag1,2,27015.11808597816,17015.11808597816,170.1511808597816,15.998441898455503,44,17.46031746031746,72.72727272727273,20,-10892.382159206529,-108.92382159206525,-23.99277866170234,1063.548450153812
SOXL_RSI14_lag1_lt_40 & SOXL_RSI14_lag1_lt_45 & SOXL_Px_lt_EMA20_lag1,3,27015.11808597816,17015.11808597816,170.1511808597816,15.998441898455503,44,17.46031746031746,72.72727272727273,20,-10892.382159206529,-108.92382159206525,-23.99277866170234,1063.548450153812
SOXS_VolZ20_lag1_gt_0.5 & SOXL_ATRpct_lag1_gt_q50,2,26999.425493037565,16999.425493037565,169.99425493037563,21.38539874921482,53,21.03174603174603,56.60377358490566,34,-10908.074752147124,-109.08074752147121,-18.605821810943024,794.9080441467902
SOXS_VolZ20_lag1_gt_0.5 & SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q50,3,26999.425493037565,16999.425493037565,169.99425493037563,21.38539874921482,53,21.03174603174603,56.60377358490566,34,-10908.074752147124,-109.08074752147121,-18.605821810943024,794.9080441467902
SOXL_RSI14_lag1_lt_40 & SOXS_RSI14_lag1_gt_55,2,26659.011698856,16659.011698856,166.59011698856,10.582873875197512,34,13.492063492063492,79.41176470588235,20,-11248.488546328688,-112.48488546328684,-29.40834668496033,1574.1481846343072
SOXL_RSI14_lag1_lt_40 & SOXL_RSI14_lag1_lt_45 & SOXS_RSI14_lag1_gt_55,3,26659.011698856,16659.011698856,166.59011698856,10.582873875197512,34,13.492063492063492,79.41176470588235,20,-11248.488546328688,-112.48488546328684,-29.40834668496033,1574.1481846343072
SOXL_RSI14_lag1_lt_40 & SOXS_RSI14_lag1_gt_55 & SOXL_Px_lt_EMA20_lag1,3,26659.011698856,16659.011698856,166.59011698856,10.582873875197512,34,13.492063492063492,79.41176470588235,20,-11248.488546328688,-112.48488546328684,-29.40834668496033,1574.1481846343072
SOXL_RSI14_lag1_lt_40 & SOXS_RSI14_lag1_gt_55 & SOXL_MACD_hist_lag1_lt_0,3,26422.781181369162,16422.781181369162,164.22781181369163,10.5828738751975,33,13.095238095238097,78.78787878787878,18,-11484.719063815526,-114.84719063815521,-29.408346684960343,1551.8262217844563
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q60,2,25740.234981698955,15740.234981698955,157.40234981698956,10.536765959730623,32,12.698412698412698,65.625,30,-12167.265263485733,-121.67265263485729,-29.45445460042722,1493.8392901441423
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q60,3,25740.234981698955,15740.234981698955,157.40234981698956,10.536765959730623,32,12.698412698412698,65.625,30,-12167.265263485733,-121.67265263485729,-29.45445460042722,1493.8392901441423
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q60,3,25740.234981698955,15740.234981698955,157.40234981698956,10.536765959730623,32,12.698412698412698,65.625,30,-12167.265263485733,-121.67265263485729,-29.45445460042722,1493.8392901441423
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q50 & SOXL_ATRpct_lag1_gt_q60,3,25740.234981698955,15740.234981698955,157.40234981698956,10.536765959730623,32,12.698412698412698,65.625,30,-12167.265263485733,-121.67265263485729,-29.45445460042722,1493.8392901441423
SOXS_VolZ20_lag1_gt_0.5 & SOXL_ATRpct_lag1_gt_q40 & SOXL_MACD_hist_lag1_lt_0,3,25673.76549284062,15673.76549284062,156.73765492840622,21.38539874921482,44,17.46031746031746,63.63636363636363,32,-12233.73475234407,-122.33734752344063,-18.605821810943024,732.9190199652505
SOXS_VolZ20_lag1_gt_0.5 & SOXL_MACD_hist_lag1_lt_0,2,25622.637879012134,15622.637879012134,156.22637879012134,21.385398749214826,51,20.238095238095237,60.78431372549019,42,-12284.862366172554,-122.8486236617255,-18.605821810943016,730.5282479049275
SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q60,2,25589.04118955122,15589.041189551219,155.8904118955122,6.52067307763817,20,7.936507936507936,80.0,24,-12318.45905563347,-123.18459055633465,-33.47054748251967,2390.7104380085975
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q60,3,25589.04118955122,15589.041189551219,155.8904118955122,6.52067307763817,20,7.936507936507936,80.0,24,-12318.45905563347,-123.18459055633465,-33.47054748251967,2390.7104380085975
SOXS_VolZ20_lag1_gt_1.0 & SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q60,3,25589.04118955122,15589.041189551219,155.8904118955122,6.52067307763817,20,7.936507936507936,80.0,24,-12318.45905563347,-123.18459055633465,-33.47054748251967,2390.7104380085975
SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q60,3,25589.04118955122,15589.041189551219,155.8904118955122,6.52067307763817,20,7.936507936507936,80.0,24,-12318.45905563347,-123.18459055633465,-33.47054748251967,2390.7104380085975
SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q50 & SOXL_ATRpct_lag1_gt_q60,3,25589.04118955122,15589.041189551219,155.8904118955122,6.52067307763817,20,7.936507936507936,80.0,24,-12318.45905563347,-123.18459055633465,-33.47054748251967,2390.7104380085975
SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q50,2,25221.062944126992,15221.062944126992,152.2106294412699,6.520673077638171,23,9.126984126984127,73.91304347826086,30,-12686.437301057696,-126.86437301057694,-33.47054748251967,2334.2778824973934
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q50,3,25221.062944126992,15221.062944126992,152.2106294412699,6.520673077638171,23,9.126984126984127,73.91304347826086,30,-12686.437301057696,-126.86437301057694,-33.47054748251967,2334.2778824973934
SOXS_VolZ20_lag1_gt_1.0 & SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q50,3,25221.062944126992,15221.062944126992,152.2106294412699,6.520673077638171,23,9.126984126984127,73.91304347826086,30,-12686.437301057696,-126.86437301057694,-33.47054748251967,2334.2778824973934
SOXS_VolZ20_lag1_gt_1.5 & SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q50,3,25221.062944126992,15221.062944126992,152.2106294412699,6.520673077638171,23,9.126984126984127,73.91304347826086,30,-12686.437301057696,-126.86437301057694,-33.47054748251967,2334.2778824973934
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q50 & SOXL_Px_lt_EMA20_lag1,3,24931.398767592407,14931.398767592407,149.31398767592407,25.539439107127144,44,17.46031746031746,65.9090909090909,10,-12976.101477592281,-129.76101477592277,-14.451781453030698,584.6408257033956
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q60 & SOXL_Px_lt_EMA20_lag1,3,24931.398767592407,14931.398767592407,149.31398767592407,25.539439107127144,44,17.46031746031746,65.9090909090909,10,-12976.101477592281,-129.76101477592277,-14.451781453030698,584.6408257033956
SOXS_VolZ20_lag1_gt_1.5 & SOXL_MACD_hist_lag1_lt_0,2,24832.345905492395,14832.345905492395,148.32345905492397,6.520673077638167,21,8.333333333333332,80.95238095238095,26,-13075.154339692293,-130.75154339692287,-33.47054748251968,2274.664858810062
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.5 & SOXL_MACD_hist_lag1_lt_0,3,24832.345905492395,14832.345905492395,148.32345905492397,6.520673077638167,21,8.333333333333332,80.95238095238095,26,-13075.154339692293,-130.75154339692287,-33.47054748251968,2274.664858810062
SOXS_VolZ20_lag1_gt_1.0 & SOXS_VolZ20_lag1_gt_1.5 & SOXL_MACD_hist_lag1_lt_0,3,24832.345905492395,14832.345905492395,148.32345905492397,6.520673077638167,21,8.333333333333332,80.95238095238095,26,-13075.154339692293,-130.75154339692287,-33.47054748251968,2274.664858810062
SOXL_RSI14_lag1_lt_40 & SOXL_ATRpct_lag1_gt_q50 & SOXL_MACD_hist_lag1_lt_0,3,24784.28731705512,14784.287317055121,147.84287317055123,10.5828738751975,30,11.904761904761903,76.66666666666667,12,-13123.212928129567,-131.2321292812956,-29.408346684960343,1397.001182420235
SOXL_RSI14_lag1_lt_40 & SOXL_ATRpct_lag1_gt_q60 & SOXL_MACD_hist_lag1_lt_0,3,24784.28731705512,14784.287317055121,147.84287317055123,10.5828738751975,30,11.904761904761903,76.66666666666667,12,-13123.212928129567,-131.2321292812956,-29.408346684960343,1397.001182420235
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q40 & SOXL_Px_lt_EMA20_lag1,3,24744.447252722624,14744.447252722624,147.44447252722622,8.924440427519013,25,9.920634920634921,68.0,24,-13163.052992462064,-131.63052992462062,-31.06678013263883,1652.1424925709957
SOXL_ATRpct_lag1_gt_q60 & SOXL_MACD_hist_lag1_lt_0,2,24626.20999566728,14626.20999566728,146.26209995667278,39.16034185047461,77,30.555555555555557,61.038961038961034,16,-13281.29024951741,-132.81290249517406,-0.8308787096832333,373.4954626166016
SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q60 & SOXL_MACD_hist_lag1_lt_0,3,24626.20999566728,14626.20999566728,146.26209995667278,39.16034185047461,77,30.555555555555557,61.038961038961034,16,-13281.29024951741,-132.81290249517406,-0.8308787096832333,373.4954626166016
SOXL_ATRpct_lag1_gt_q50 & SOXL_ATRpct_lag1_gt_q60 & SOXL_MACD_hist_lag1_lt_0,3,24626.20999566728,14626.20999566728,146.26209995667278,39.16034185047461,77,30.555555555555557,61.038961038961034,16,-13281.29024951741,-132.81290249517406,-0.8308787096832333,373.4954626166016
SOXS_VolZ20_lag1_gt_0.5 & SOXL_ATRpct_lag1_gt_q50 & SOXL_MACD_hist_lag1_lt_0,3,24525.951368929924,14525.951368929924,145.25951368929927,21.914664976978823,42,16.666666666666664,61.904761904761905,28,-13381.548876254765,-133.81548876254757,-18.07655558317902,662.8415896017264
SOXL_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.5,2,24524.08525613807,14524.08525613807,145.24085256138073,9.961719171235734,25,9.920634920634921,80.0,32,-13383.414989046618,-133.8341498904661,-30.029501388922107,1457.98983152186
SOXL_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.5,3,24524.08525613807,14524.08525613807,145.24085256138073,9.961719171235734,25,9.920634920634921,80.0,32,-13383.414989046618,-133.8341498904661,-30.029501388922107,1457.98983152186
SOXL_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.0 & SOXS_VolZ20_lag1_gt_1.5,3,24524.08525613807,14524.08525613807,145.24085256138073,9.961719171235734,25,9.920634920634921,80.0,32,-13383.414989046618,-133.8341498904661,-30.029501388922107,1457.98983152186
