exec_model,window,profile,start_date,end_date,initial_equity,cpu_final_equity,cpu_pnl,cpu_return_pct,cpu_max_drawdown_pct,cpu_trades,gpu_final_equity,gpu_pnl,gpu_return_pct,gpu_max_drawdown_pct,gpu_trades,cpu_gpu_diff_bps,run_dir
synthetic,1m,original_composer,2026-02-19,2026-03-19,10000.0,18769.763601768704,8769.763601768704,87.69763601768703,8.620689844168508,8,18769.763601768704,8769.763601768704,87.69763601768703,8.620689844168508,8,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/1m_original_composer
synthetic,1m,trailing12_4_adapt,2026-02-19,2026-03-19,10000.0,19596.537734784255,9596.537734784255,95.96537734784253,8.620689844168508,13,19596.537734784255,9596.537734784255,95.96537734784253,8.620689844168508,13,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/1m_trailing12_4_adapt
synthetic,1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2026-02-19,2026-03-19,10000.0,21359.78091867326,11359.78091867326,113.59780918673259,8.620689844168508,18,21359.78091867326,11359.78091867326,113.59780918673259,8.620689844168508,18,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/1m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
synthetic,2m,original_composer,2026-01-19,2026-03-19,10000.0,23729.753214392247,13729.753214392247,137.2975321439225,14.56310652643767,16,23729.753214392247,13729.753214392247,137.2975321439225,14.56310652643767,16,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/2m_original_composer
synthetic,2m,trailing12_4_adapt,2026-01-19,2026-03-19,10000.0,28364.841485135836,18364.841485135836,183.64841485135835,14.56310652643767,27,28364.841485135836,18364.841485135836,183.64841485135835,14.56310652643767,27,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/2m_trailing12_4_adapt
synthetic,2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2026-01-19,2026-03-19,10000.0,33575.08936813685,23575.089368136847,235.75089368136847,14.56310652643767,32,33575.08936813685,23575.089368136847,235.75089368136847,14.56310652643767,32,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/2m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
synthetic,3m,original_composer,2025-12-19,2026-03-19,10000.0,18559.373763461394,8559.373763461394,85.59373763461393,35.999998612837366,17,18559.373763461394,8559.373763461394,85.59373763461393,35.999998612837366,17,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/3m_original_composer
synthetic,3m,trailing12_4_adapt,2025-12-19,2026-03-19,10000.0,22184.54149555529,12184.541495555291,121.84541495555293,35.999998612837366,29,22184.54149555529,12184.541495555291,121.84541495555293,35.999998612837366,29,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/3m_trailing12_4_adapt
synthetic,3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-12-19,2026-03-19,10000.0,26530.120845009886,16530.120845009886,165.30120845009884,35.34056015858177,35,26530.120845009886,16530.120845009886,165.30120845009884,35.34056015858177,35,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/3m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
synthetic,6m,original_composer,2025-09-19,2026-03-19,10000.0,20642.823069923557,10642.823069923557,106.4282306992356,39.11872168216416,27,20642.823069923557,10642.823069923557,106.4282306992356,39.11872168216416,27,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/6m_original_composer
synthetic,6m,trailing12_4_adapt,2025-09-19,2026-03-19,10000.0,31727.464313094682,21727.464313094682,217.27464313094683,38.77875144411608,50,31727.464313094682,21727.464313094682,217.27464313094683,38.77875144411608,50,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/6m_trailing12_4_adapt
synthetic,6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-09-19,2026-03-19,10000.0,42686.29836893241,32686.29836893241,326.8629836893241,36.85936000695815,61,42686.29836893241,32686.29836893241,326.8629836893241,36.85936000695815,61,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/6m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
synthetic,1y,original_composer,2025-03-19,2026-03-19,10000.0,33698.3663006196,23698.3663006196,236.98366300619602,39.11872168216416,231,33698.3663006196,23698.3663006196,236.98366300619602,39.11872168216416,232,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/1y_original_composer
synthetic,1y,trailing12_4_adapt,2025-03-19,2026-03-19,10000.0,54646.63082193609,44646.63082193609,446.4663082193609,38.77875144411605,254,54646.63082193603,44646.63082193603,446.46630821936026,38.778751444116054,254,1.065164677821306e-11,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/1y_trailing12_4_adapt
synthetic,1y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-03-19,2026-03-19,10000.0,82305.8582188978,72305.8582188978,723.0585821889781,36.85936000695815,276,82305.8582188978,72305.8582188978,723.0585821889781,36.85936000695815,272,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/1y_aggr_adapt_t10_tr2_rv14_b85_m8_M30
synthetic,2y,original_composer,2024-03-19,2026-03-19,10000.0,21787.771471723023,11787.771471723023,117.8777147172302,62.2675686457608,435,21787.771471723023,11787.771471723023,117.8777147172302,62.2675686457608,437,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/2y_original_composer
synthetic,2y,trailing12_4_adapt,2024-03-19,2026-03-19,10000.0,37267.00387548132,27267.00387548132,272.6700387548132,60.90419385939748,470,37267.00387548132,27267.00387548132,272.6700387548132,60.90419385939748,463,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/2y_trailing12_4_adapt
synthetic,2y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2024-03-19,2026-03-19,10000.0,66946.15987259192,56946.15987259192,569.4615987259192,58.974834468814294,498,66946.159872592,56946.159872592005,569.46159872592,58.974834468814294,489,1.3042046255732565e-11,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/2y_aggr_adapt_t10_tr2_rv14_b85_m8_M30
synthetic,3y,original_composer,2023-03-19,2026-03-19,10000.0,11350.88561328236,1350.8856132823603,13.508856132823599,84.61281798913258,464,11350.88561328236,1350.8856132823603,13.508856132823599,84.61281798913258,463,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/3y_original_composer
synthetic,3y,trailing12_4_adapt,2023-03-19,2026-03-19,10000.0,19735.53295478871,9735.532954788709,97.35532954788708,83.57294833012685,498,19735.53295478871,9735.532954788709,97.35532954788708,83.57294833012685,493,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/3y_trailing12_4_adapt
synthetic,3y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2023-03-19,2026-03-19,10000.0,44539.781384437585,34539.781384437585,345.3978138443759,80.62382415420923,548,44539.781384437556,34539.781384437556,345.39781384437555,80.62382415420925,549,6.5343451521526155e-12,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/3y_aggr_adapt_t10_tr2_rv14_b85_m8_M30
synthetic,5y,original_composer,2021-03-19,2026-03-19,10000.0,16224.124924736576,6224.124924736576,62.24124924736576,88.19804154500197,1028,16224.124924736576,6224.124924736576,62.24124924736576,88.19804154500197,1024,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/5y_original_composer
synthetic,5y,trailing12_4_adapt,2021-03-19,2026-03-19,10000.0,37783.857041023235,27783.857041023235,277.83857041023236,84.24764416692742,1098,37783.85704102328,27783.85704102328,277.83857041023276,84.24764416692742,1084,1.1554073380518566e-11,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/5y_trailing12_4_adapt
synthetic,5y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2021-03-19,2026-03-19,10000.0,115035.46542283041,105035.46542283041,1050.354654228304,80.62381975301179,1162,115035.46542283041,105035.46542283041,1050.354654228304,80.62381975301179,1147,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/synthetic/5y_aggr_adapt_t10_tr2_rv14_b85_m8_M30
market_close,1m,original_composer,2026-02-19,2026-03-19,10000.0,18769.763601768704,8769.763601768704,87.69763601768703,8.620689844168508,8,18769.763601768704,8769.763601768704,87.69763601768703,8.620689844168508,8,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/market_close/1m_original_composer
market_close,1m,trailing12_4_adapt,2026-02-19,2026-03-19,10000.0,18758.505121451966,8758.505121451966,87.58505121451967,8.620689844168508,13,18758.505121451966,8758.505121451966,87.58505121451967,8.620689844168508,13,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/market_close/1m_trailing12_4_adapt
market_close,1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2026-02-19,2026-03-19,10000.0,18751.00321985873,8751.003219858729,87.51003219858728,8.620689844168508,17,18751.00321985873,8751.003219858729,87.51003219858728,8.620689844168508,17,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/market_close/1m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
market_close,2m,original_composer,2026-01-19,2026-03-19,10000.0,23729.753214392247,13729.753214392247,137.2975321439225,14.56310652643767,16,23729.753214392247,13729.753214392247,137.2975321439225,14.56310652643767,16,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/market_close/2m_original_composer
market_close,2m,trailing12_4_adapt,2026-01-19,2026-03-19,10000.0,23701.29458903037,13701.29458903037,137.01294589030374,14.580192196565342,28,23701.29458903037,13701.29458903037,137.01294589030374,14.580192196565342,28,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/market_close/2m_trailing12_4_adapt
market_close,2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2026-01-19,2026-03-19,10000.0,23691.81596701395,13691.81596701395,136.91815967013952,14.580192196565342,32,23691.81596701395,13691.81596701395,136.91815967013952,14.580192196565342,32,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/market_close/2m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
market_close,3m,original_composer,2025-12-19,2026-03-19,10000.0,18559.373763461394,8559.373763461394,85.59373763461393,35.999998612837366,17,18559.373763461394,8559.373763461394,85.59373763461393,35.999998612837366,17,0.0,/home/chewy/projects/trading-compose-dev/composer_original/reports/exec_model_compare_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf_2026-03-19/market_close/3m_original_composer
