Window,Profile,Start Date,End Date,Start Equity,CPU Final Equity,CPU PnL,CPU Return %,CPU Max Drawdown %,CPU Trades,GPU Final Equity,GPU PnL,GPU Return %,GPU Max Drawdown %,GPU Trades,CPU-GPU Diff (bps),Strategy Mode,Strategy Preset,Data Source,Run Dir
1m,original_composer,2026-02-19,2026-03-19,10000.0,18769.763601768704,8769.763601768704,87.69763601768703,8.620689844168508,8,18769.763601768704,8769.763601768704,87.69763601768703,8.620689844168508,8,0.0,original,original_composer,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/1m_original_composer
1m,trailing12_4_adapt,2026-02-19,2026-03-19,10000.0,19596.537734784255,9596.537734784255,95.96537734784253,8.620689844168508,13,19596.537734784255,9596.537734784255,95.96537734784253,8.620689844168508,13,0.0,original,trailing12_4_adapt,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/1m_trailing12_4_adapt
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2026-02-19,2026-03-19,10000.0,21359.78091867326,11359.78091867326,113.59780918673259,8.620689844168508,18,21359.78091867326,11359.78091867326,113.59780918673259,8.620689844168508,18,0.0,original,aggr_adapt_t10_tr2_rv14_b85_m8_M30,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/1m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
2m,original_composer,2026-01-20,2026-03-19,10000.0,23729.753214392247,13729.753214392247,137.2975321439225,14.56310652643767,16,23729.753214392247,13729.753214392247,137.2975321439225,14.56310652643767,16,0.0,original,original_composer,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/2m_original_composer
2m,trailing12_4_adapt,2026-01-20,2026-03-19,10000.0,28364.841485135836,18364.841485135836,183.64841485135835,14.56310652643767,27,28364.841485135836,18364.841485135836,183.64841485135835,14.56310652643767,27,0.0,original,trailing12_4_adapt,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/2m_trailing12_4_adapt
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2026-01-20,2026-03-19,10000.0,33575.08936813685,23575.089368136847,235.75089368136847,14.56310652643767,32,33575.08936813685,23575.089368136847,235.75089368136847,14.56310652643767,32,0.0,original,aggr_adapt_t10_tr2_rv14_b85_m8_M30,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/2m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
3m,original_composer,2025-12-19,2026-03-19,10000.0,18559.373763461394,8559.373763461394,85.59373763461393,35.999998612837366,17,18559.373763461394,8559.373763461394,85.59373763461393,35.999998612837366,17,0.0,original,original_composer,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/3m_original_composer
3m,trailing12_4_adapt,2025-12-19,2026-03-19,10000.0,22184.54149555529,12184.541495555291,121.84541495555293,35.999998612837366,29,22184.54149555529,12184.541495555291,121.84541495555293,35.999998612837366,29,0.0,original,trailing12_4_adapt,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/3m_trailing12_4_adapt
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-12-19,2026-03-19,10000.0,26530.120845009886,16530.120845009886,165.30120845009884,35.34056015858177,35,26530.120845009886,16530.120845009886,165.30120845009884,35.34056015858177,35,0.0,original,aggr_adapt_t10_tr2_rv14_b85_m8_M30,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/3m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
6m,original_composer,2025-09-19,2026-03-19,10000.0,20642.821542328693,10642.821542328693,106.42821542328691,39.11872168216416,32,20642.821542328693,10642.821542328693,106.42821542328691,39.11872168216416,32,0.0,original,original_composer,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/6m_original_composer
6m,trailing12_4_adapt,2025-09-19,2026-03-19,10000.0,31727.4666609671,21727.4666609671,217.274666609671,38.77875144411607,49,31727.4666609671,21727.4666609671,217.274666609671,38.77875144411607,49,0.0,original,trailing12_4_adapt,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/6m_trailing12_4_adapt
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-09-19,2026-03-19,10000.0,42686.30152777238,32686.301527772383,326.8630152777238,36.85936000695814,61,42686.30152777238,32686.301527772383,326.8630152777238,36.85936000695814,61,0.0,original,aggr_adapt_t10_tr2_rv14_b85_m8_M30,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/6m_aggr_adapt_t10_tr2_rv14_b85_m8_M30
1y,original_composer,2025-03-19,2026-03-19,10000.0,33698.37313908151,23698.37313908151,236.9837313908151,39.11872168216417,230,33698.37313908151,23698.37313908151,236.9837313908151,39.11872168216417,230,0.0,original,original_composer,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/1y_original_composer
1y,trailing12_4_adapt,2025-03-19,2026-03-19,10000.0,54646.646111158254,44646.646111158254,446.46646111158253,38.77875144411607,257,54646.646111158254,44646.646111158254,446.46646111158253,38.77875144411607,255,0.0,original,trailing12_4_adapt,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/1y_trailing12_4_adapt
1y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-03-19,2026-03-19,10000.0,82305.86742661812,72305.86742661812,723.0586742661811,36.85936000695815,271,82305.86742661812,72305.86742661812,723.0586742661811,36.859360006958156,268,0.0,original,aggr_adapt_t10_tr2_rv14_b85_m8_M30,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/1y_aggr_adapt_t10_tr2_rv14_b85_m8_M30
2y,original_composer,2024-03-19,2026-03-19,10000.0,21787.77594582624,11787.77594582624,117.87775945826242,62.267552489737476,435,21787.77594582624,11787.77594582624,117.87775945826242,62.267552489737476,435,0.0,original,original_composer,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/2y_original_composer
2y,trailing12_4_adapt,2024-03-19,2026-03-19,10000.0,37266.98413572448,27266.98413572448,272.6698413572448,60.904204189484226,467,37266.98413572451,27266.98413572451,272.6698413572451,60.904204189484226,461,7.809548084368464e-12,original,trailing12_4_adapt,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/2y_trailing12_4_adapt
2y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2024-03-19,2026-03-19,10000.0,66946.1086469997,56946.108646999695,569.461086469997,58.97485115268827,499,66946.1086469997,56946.108646999695,569.461086469997,58.97485115268829,492,0.0,original,aggr_adapt_t10_tr2_rv14_b85_m8_M30,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/2y_aggr_adapt_t10_tr2_rv14_b85_m8_M30
3y,original_composer,2023-03-20,2026-03-19,10000.0,11350.884810187572,1350.884810187572,13.508848101875714,84.61282145232832,467,11350.884810187572,1350.884810187572,13.508848101875714,84.61282145232832,469,0.0,original,original_composer,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/3y_original_composer
3y,trailing12_4_adapt,2023-03-20,2026-03-19,10000.0,19735.527386666654,9735.527386666654,97.35527386666654,83.57295820123447,513,19735.527386666654,9735.527386666654,97.35527386666654,83.57295820123447,500,0.0,original,trailing12_4_adapt,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/3y_trailing12_4_adapt
3y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2023-03-20,2026-03-19,10000.0,44539.79181408265,34539.79181408265,345.3979181408265,80.62382627895197,550,44539.79181408265,34539.79181408265,345.3979181408265,80.62382627895197,543,0.0,original,aggr_adapt_t10_tr2_rv14_b85_m8_M30,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/3y_aggr_adapt_t10_tr2_rv14_b85_m8_M30
5y,original_composer,2021-03-19,2026-03-19,10000.0,16224.120653626727,6224.120653626727,62.24120653626728,88.19804709654709,1029,16224.120653626727,6224.120653626727,62.24120653626728,88.19804709654709,1029,0.0,original,original_composer,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/5y_original_composer
5y,trailing12_4_adapt,2021-03-19,2026-03-19,10000.0,37783.97008817728,27783.97008817728,277.8397008817728,84.24759621486511,1093,37783.97008817728,27783.97008817728,277.8397008817728,84.24759621486513,1068,0.0,original,trailing12_4_adapt,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/5y_trailing12_4_adapt
5y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2021-03-19,2026-03-19,10000.0,115035.37220867258,105035.37220867258,1050.3537220867258,80.62382270162726,1171,115035.37220867278,105035.37220867278,1050.3537220867279,80.62382270162723,1146,1.7709927762704006e-11,original,aggr_adapt_t10_tr2_rv14_b85_m8_M30,yfinance,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_three_profiles_1m_2m_3m_6m_1y_2y_3y_5y_10k_yf/5y_aggr_adapt_t10_tr2_rv14_b85_m8_M30
