Window,Start,End,CPU Final Equity,CPU PnL,CPU Return %,CPU Max DD %,CPU Trades,GPU Final Equity,GPU PnL,GPU Return %,GPU Max DD %,GPU Trades,CPU-GPU Diff (bps),Exec Model,Exec Model Effective
1m,2026-02-19,2026-03-19,21359.78091867326,11359.78091867326,113.59780918673259,8.620689844168508,18,21359.78091867326,11359.78091867326,113.59780918673259,8.620689844168508,18,0.0,paper_live_style_optimistic,synthetic
2m,2026-01-19,2026-03-19,33575.08936813685,23575.089368136847,235.75089368136847,14.56310652643767,32,33575.08936813685,23575.089368136847,235.75089368136847,14.56310652643767,32,0.0,paper_live_style_optimistic,synthetic
3m,2025-12-19,2026-03-19,26530.120845009886,16530.120845009886,165.30120845009884,35.34056015858177,35,26530.120845009886,16530.120845009886,165.30120845009884,35.34056015858177,35,0.0,paper_live_style_optimistic,synthetic
6m,2025-09-19,2026-03-19,42686.29836893241,32686.29836893241,326.8629836893241,36.85936000695815,61,42686.29836893241,32686.29836893241,326.8629836893241,36.85936000695815,61,0.0,paper_live_style_optimistic,synthetic
1y,2025-03-19,2026-03-19,82305.86346200985,72305.86346200985,723.0586346200985,36.85936000695815,272,82305.86346200985,72305.86346200985,723.0586346200985,36.85936000695815,271,0.0,paper_live_style_optimistic,synthetic
2y,2024-03-19,2026-03-19,66946.14929708501,56946.14929708501,569.4614929708501,58.97485673054565,498,66946.14929708495,56946.14929708495,569.4614929708495,58.97485673054565,490,8.694698877326153e-12,paper_live_style_optimistic,synthetic
3y,2023-03-19,2026-03-19,44539.817169723356,34539.817169723356,345.3981716972335,80.62382115061546,557,44539.817169723356,34539.817169723356,345.3981716972335,80.62382115061546,544,0.0,paper_live_style_optimistic,synthetic
5y,2021-03-19,2026-03-19,115035.11958963814,105035.11958963814,1050.3511958963816,80.62383004233476,1173,115035.11958963814,105035.11958963814,1050.3511958963816,80.62383004233476,1148,0.0,paper_live_style_optimistic,synthetic
