Window,Start,End,CPU Window Start Equity,GPU Window Start Equity,CPU Final Equity,CPU PnL,CPU Return %,CPU Max DD %,CPU Trades,GPU Final Equity,GPU PnL,GPU Return %,GPU Max DD %,GPU Trades,CPU-GPU Diff (bps),Exec Model,Exec Model Effective
1m,2026-02-19,2026-03-19,10000.0,10000.0,21359.78091867326,11359.78091867326,113.59780918673259,8.620689844168508,18,21359.78091867326,11359.78091867326,113.59780918673259,8.620689844168508,18,0.0,paper_live_style_optimistic,synthetic
2m,2026-01-19,2026-03-19,10000.0,10000.0,33575.08936813685,23575.089368136847,235.75089368136847,14.56310652643767,32,33575.08936813685,23575.089368136847,235.75089368136847,14.56310652643767,32,0.0,paper_live_style_optimistic,synthetic
3m,2025-12-19,2026-03-19,10000.0,10000.0,26530.120845009886,16530.120845009886,165.30120845009884,35.34056015858177,35,26530.120845009886,16530.120845009886,165.30120845009884,35.34056015858177,35,0.0,paper_live_style_optimistic,synthetic
6m,2025-09-19,2026-03-19,10000.0,10000.0,42686.29836893241,32686.29836893241,326.8629836893241,36.85936000695815,61,42686.29836893241,32686.29836893241,326.8629836893241,36.85936000695815,61,0.0,paper_live_style_optimistic,synthetic
1y,2025-03-19,2026-03-19,10000.0,10000.0,82305.82368892973,72305.82368892973,723.0582368892973,36.85936000695814,275,82305.82368892973,72305.82368892973,723.0582368892973,36.85936000695814,272,0.0,paper_live_style_optimistic,synthetic
2y,2024-03-19,2026-03-19,10000.0,10000.0,66946.08559352848,56946.08559352848,569.4608559352848,58.9748702195451,495,66946.08559352848,56946.08559352848,569.4608559352848,58.9748702195451,492,0.0,paper_live_style_optimistic,synthetic
3y,2023-03-19,2026-03-19,10000.0,10000.0,44539.75063299171,34539.75063299171,345.3975063299171,80.62384368855766,558,44539.75063299171,34539.75063299171,345.3975063299171,80.62384368855766,554,0.0,paper_live_style_optimistic,synthetic
5y,2021-03-19,2026-03-19,10000.0,10000.0,115035.3240190516,105035.3240190516,1050.3532401905159,80.62382362708796,1155,115035.3240190516,105035.3240190516,1050.3532401905159,80.62382362708797,1138,0.0,paper_live_style_optimistic,synthetic
