candidate_id,gate_ok_2y_proxy,score_proxy,long_diff_2y_vs_ov_proxy,mdd_2y_proxy,bias,a20,a60,b_rv,b_dd,temp,floor,ceil,1m_ret_proxy,2m_ret_proxy,3m_ret_proxy,4m_ret_proxy,5m_ret_proxy,6m_ret_proxy,1y_ret_proxy,2y_ret_proxy
G1-414909,True,-210.2685089111328,19.39703369140625,62.89194869995117,1.0417928903757518,0.7873958229409063,-0.2272100999349241,0.073629614577192,0.0,0.04197113055391072,0.25137670283603175,0.9895943308425738,79.15625762939453,135.8437957763672,142.88577270507812,181.0387420654297,417.7265625,382.7767028808594,956.234619140625,867.002685546875
G1-1062848,True,-214.51641845703125,10.98486328125,62.808990478515625,0.35897702327028613,0.6921188904741222,-0.1961435782441672,0.0,0.0,0.17020208941148424,0.2449355011094776,0.9880625937141275,78.89293670654297,135.49359130859375,142.2788848876953,180.11569213867188,416.8414611816406,382.50628662109375,945.9940185546875,858.5905151367188
G1-227407,True,-215.73789978027344,11.3724365234375,62.608154296875,1.5680507606994252,0.6913832340625669,-0.19553511334453685,0.13379871566817308,0.02575517354551464,0.18371227728012843,0.25595392514334425,0.9440525439245286,79.34330749511719,136.09268188476562,143.48338317871094,181.0549774169922,413.2603759765625,378.7304992675781,941.3558959960938,858.9780883789062
G1-777934,True,-215.91668701171875,18.529296875,62.694007873535156,0.692211674837497,0.6264853914862786,-0.1637849239730182,0.10947233000233086,0.0,0.1923196411425548,0.24639443706644157,0.9702596153430022,78.95249938964844,135.57284545898438,142.4805450439453,180.0993194580078,415.08245849609375,380.9401550292969,946.3975219726562,866.1349487304688
G1-1210549,True,-216.5613250732422,17.114013671875,62.63883590698242,1.2252113237721822,0.7044819577811512,-0.1899465960778484,0.13754293779761495,0.0,0.1714475888685058,0.2504760063824854,0.9565942108423605,79.1195297241211,135.79495239257812,142.91741943359375,180.2670440673828,413.7016906738281,379.46051025390625,945.5841064453125,864.7196655273438
G1-416686,True,-216.72320556640625,2.64154052734375,62.57018280029297,0.7915770275996065,0.6901390874897034,-0.17831075553070116,0.10109439805087134,0.0,0.20340788414027855,0.26539191273034396,0.9242466693586537,79.72855377197266,136.60523986816406,144.453125,181.5471649169922,411.03704833984375,376.0838623046875,934.5316162109375,850.2471923828125
G1-347430,True,-217.2225341796875,6.10296630859375,62.561607360839844,1.011725087047183,0.7480646629496085,-0.20731118180347757,0.1704516947651471,0.0,0.1944011061005452,0.25592279926999173,0.9377913329659107,79.342041015625,136.0909881591797,143.50267028808594,181.0732879638672,412.74365234375,378.3247375488281,932.7901000976562,853.7086181640625
G1-423418,True,-217.22671508789062,7.6265869140625,62.752960205078125,1.4539740420711302,0.6456097628263109,-0.18311110095843575,0.16040750948633717,0.027976841011148806,0.26913752644586303,0.2457787412404322,0.9684432200351331,78.92740631103516,135.53941345214844,142.4285125732422,180.09625244140625,414.9736328125,380.9206848144531,937.7218017578125,855.2322387695312
G1-315267,True,-217.6275177001953,7.09747314453125,62.45546340942383,0.8211315466315369,0.6111511513604598,-0.15033747471077827,0.14484402393321105,0.0,0.09708079132806925,0.26396980893012567,0.9103538198253177,79.6705093383789,136.52801513671875,144.3671417236328,181.61473083496094,410.3013610839844,375.6571350097656,933.917724609375,854.703125
G1-297955,True,-217.8542022705078,9.6024169921875,62.531463623046875,0.39260000098729475,0.7330202594712746,-0.19476665238434102,0.12855523046670572,0.0,0.03,0.25373738621236835,0.9371189476264286,79.25275421142578,135.9722442626953,143.2969512939453,180.8533477783203,412.5704650878906,378.3418273925781,933.8251953125,857.2080688476562
G1-387218,True,-217.96009826660156,7.9915771484375,62.55175018310547,1.0942376189358995,0.7200612737642221,-0.21122976956121745,0.14641502437909054,0.0,0.12739592705383568,0.2518928059996629,0.9423749656584938,79.17740631103516,135.87197875976562,143.10272216796875,180.69775390625,412.9934387207031,378.85455322265625,933.6002197265625,855.5972290039062
G1-667655,True,-218.23646545410156,7.60491943359375,62.487918853759766,0.5243686145715072,0.6818344232243633,-0.18102839900499823,0.055321631222968064,0.0,0.1690576516560669,0.25943586122424395,0.9222530685676027,79.48546600341797,136.28176879882812,143.89254760742188,181.07461547851562,410.98614501953125,376.5480041503906,934.4479370117188,855.2105712890625
G1-556517,True,-218.33807373046875,6.967529296875,62.49583435058594,0.671831090373766,0.6191193746730872,-0.17046954054834812,0.0,0.032455929389570266,0.15019031357913665,0.2578323596754364,0.9237935931556011,79.42000579833984,136.19473266601562,143.73439025878906,181.09974670410156,411.36712646484375,377.01983642578125,932.1329956054688,854.5731811523438
G1-228601,True,-218.46957397460938,12.4461669921875,62.52574157714844,0.8770064899942105,0.6921456533506745,-0.17159890263915595,0.12299605877930318,0.007758520158007175,0.1427326739625077,0.25640332887316813,0.9281075711077228,79.36164093017578,136.11708068847656,143.58287048339844,180.76693725585938,411.1752624511719,376.9139404296875,937.9503173828125,860.0518188476562
G1-590616,True,-218.6959228515625,4.512451171875,62.46131134033203,0.9857195700805821,0.650760408205003,-0.17960445952432794,0.11955470199324447,0.006023156787064478,0.20573098551205748,0.2594721677994779,0.9185382610947278,79.48695373535156,136.28378295898438,143.90928649902344,181.18312072753906,410.8271179199219,376.43804931640625,930.884765625,852.1181030273438
G1-1328027,True,-218.95225524902344,11.7830810546875,62.51868438720703,0.4627928166409422,0.855580679601622,-0.21971768691730567,0.10080660524514999,0.0,0.24436605713947565,0.24914274265256614,0.941947312997574,79.06492614746094,135.72238159179688,142.842529296875,180.25343322753906,412.5796813964844,378.68017578125,936.8981323242188,859.3887329101562
G1-961698,True,-219.06980895996094,11.29644775390625,62.40757751464844,0.5415304052053633,0.7133196257570182,-0.18308590698631827,0.09629267660268552,0.0,0.13579146455059607,0.25806864474722957,0.9134796322424543,79.42964172363281,136.20755004882812,143.7935791015625,181.04786682128906,410.39495849609375,376.1988220214844,934.1949462890625,858.902099609375
G1-351977,True,-219.3013916015625,3.767333984375,62.44241714477539,1.2716716194783393,0.6241979668262201,-0.15771257696783345,0.16203872031506372,0.012087204966893715,0.12570673421946443,0.26526303288878966,0.8995769658184005,79.72325134277344,136.59815979003906,144.5288848876953,181.52828979492188,408.9796142578125,374.42742919921875,930.3102416992188,851.3729858398438
G1-395815,True,-219.56784057617188,4.47430419921875,62.598915100097656,0.7683398814569373,0.551390677140819,-0.15622082600300516,0.0,0.039719667997667844,0.151362711779566,0.25248026265813345,0.9317754027597189,79.20140075683594,135.90390014648438,143.19627380371094,180.62252807617188,411.8954772949219,377.8727111816406,929.4452514648438,852.0799560546875
G1-521915,True,-219.61929321289062,28.3284912109375,62.52748489379883,0.500532073798487,0.6711839051659927,-0.17552019600663177,0.052679883698274206,0.0,0.13105166606027907,0.2392782324992574,0.9586280079283844,78.66136169433594,135.185546875,141.84535217285156,179.17327880859375,413.4521484375,380.1327209472656,946.9188842773438,875.9341430664062
G1-851891,True,-219.79312133789062,8.29559326171875,62.40977478027344,1.013210504870392,0.685168630359008,-0.18326183514473543,0.19037185432548176,0.0,0.1934272360792978,0.25631292302467173,0.9162698544568939,79.3579330444336,136.11216735839844,143.61636352539062,180.91766357421875,410.5979309082031,376.5105285644531,929.9656982421875,855.9012451171875
G1-369309,True,-219.81625366210938,24.3201904296875,62.615753173828125,0.6609013600285844,0.7176261929580904,-0.1796674817326286,0.07314986488960548,0.0,0.13608126796785736,0.2421517865629557,0.9663154935620291,78.77900695800781,135.3419952392578,142.09132385253906,178.94956970214844,413.1058654785156,379.4876708984375,946.8951416015625,871.9258422851562
G1-605278,True,-220.01638793945312,5.35968017578125,62.37379837036133,0.40763012121261866,0.7114754185496198,-0.18491700427986882,0.05830907461776948,0.0,0.1641295868371388,0.2609787228925643,0.904324199700321,79.54850006103516,136.36563110351562,144.10350036621094,181.16481018066406,409.4080810546875,375.1314697265625,929.8145141601562,852.96533203125
G1-750274,True,-220.019775390625,6.2916259765625,62.300537109375,1.4135826344387872,0.6899598890203595,-0.19642892663337408,0.11954006492954819,0.0036234876250431577,0.03,0.2647718548156317,0.888099606570312,79.7032241821289,136.57147216796875,144.52297973632812,181.64288330078125,408.3720703125,374.0147705078125,928.4898681640625,853.8972778320312
G1-1004795,True,-220.0469970703125,5.00177001953125,62.38359069824219,1.0171878773451055,0.7054190670993019,-0.18963986618442635,0.06549272134843971,0.012341821075106812,0.13625322871318046,0.264515005936647,0.9001550382454536,79.69275665283203,136.55760192871094,144.45547485351562,181.24449157714844,408.710205078125,374.2318115234375,929.7796020507812,852.607421875
G1-934061,True,-220.07940673828125,23.85418701171875,62.53202438354492,0.3711180433905589,0.6421388106128667,-0.16278504438957273,0.06966621927133926,0.01091375688739174,0.12677606566445293,0.2395860066987985,0.9507315442596942,78.67401885986328,135.20236206054688,141.9025421142578,179.420166015625,413.1871643066406,379.9444580078125,942.7152709960938,871.4598388671875
G1-1143500,True,-220.16104125976562,17.72216796875,62.47309494018555,1.1508907106212456,0.7999345758262936,-0.2083381181642268,0.10438429580942604,0.023506192679779072,0.20671541978209054,0.24960999545349472,0.930506037931229,79.08407592773438,135.74786376953125,142.92758178710938,180.10491943359375,411.24310302734375,377.5127868652344,938.3441162109375,865.3278198242188
G1-1065299,True,-220.31204223632812,19.5767822265625,63.163631439208984,1.5568810778027917,0.637101201312687,-0.16295392839745856,0.15947525338329727,0.023769649936024526,0.19940249184444928,0.23188388705842433,0.9907957756991773,78.35845947265625,134.78282165527344,141.02952575683594,178.33023071289062,414.5780944824219,381.4439392089844,952.8161010742188,867.1824340820312
G1-1158433,True,-220.389892578125,12.630126953125,62.48606872558594,1.0141592655008533,0.6945816761847159,-0.18751699144236472,0.021601859865771608,0.023221513197581756,0.1804888895437266,0.2542143998170368,0.9300821907847135,79.27222442626953,135.99815368652344,143.36741638183594,180.08558654785156,410.5290832519531,376.47088623046875,936.66650390625,860.2357788085938
G1-948604,True,-220.39437866210938,17.02886962890625,62.78424072265625,1.0003784862906295,0.6388588604582002,-0.16701623669837787,0.17001605260538535,0.01404640649933674,0.19520655633184336,0.2378496687570641,0.9575563743691089,78.60291290283203,135.10775756835938,141.71328735351562,179.26190185546875,413.6711730957031,380.471435546875,940.6957397460938,864.634521484375
G1-678041,True,-220.3949737548828,10.51690673828125,62.4195556640625,0.882180339642567,0.7484433649062407,-0.20169617155720873,0.09854850654368864,0.0,0.22777972261341967,0.2544957730534294,0.9204832801262455,79.28373718261719,136.01345825195312,143.4282989501953,180.4751434326172,410.4164733886719,376.44244384765625,933.4204711914062,858.12255859375
G1-1181064,True,-220.39962768554688,11.06036376953125,62.38285446166992,1.0169580327767882,0.6947271410398941,-0.1784010289152413,0.15040819397207775,0.0,0.18241113010573068,0.25779774052636273,0.9103416603009087,79.4185791015625,136.1928253173828,143.77894592285156,180.7748565673828,409.5960998535156,375.5080261230469,932.7577514648438,858.666015625
G1-469407,True,-220.50486755371094,14.21868896484375,62.32426071166992,0.5496567724365251,0.7165173932984092,-0.18245516800035474,0.12115639180557711,0.0,0.08222277582482676,0.2562631979982978,0.9049071353461996,79.35591125488281,136.10940551757812,143.65203857421875,180.8501434326172,409.56402587890625,375.6589050292969,933.2203979492188,861.8243408203125
G1-1129171,True,-220.5412139892578,1.89642333984375,62.64990997314453,1.5067648730233092,0.7787153147118298,-0.20666394961700046,0.1271026921239535,0.0,0.3091086636977858,0.25024948498290644,0.9583300580009507,79.11021423339844,135.78305053710938,142.8904571533203,179.53076171875,411.49298095703125,377.3992004394531,940.8218383789062,849.5020751953125
