candidate_id,gate_ok_2y,score,short_penalty_sum,short_excess_sum,long_diff_2y_vs_ov,bias,a20,a60,b_rv,b_dd,temp,floor,ceil,1m_ret,1m_mdd,2m_ret,2m_mdd,3m_ret,3m_mdd,4m_ret,4m_mdd,5m_ret,5m_mdd,6m_ret,6m_mdd,1y_ret,1y_mdd,2y_ret,2y_mdd
G1-760828,True,131.07448372761067,2.293581345427981,1290.181785453069,217.49432638658664,6.422501787246778,0.0,-0.08714019356183678,0.06791541239062143,0.1301732416559662,0.03,0.0,1.0,107.4269198873831,16.73,172.8469829811958,16.73,214.36367595313496,24.69,261.39637778530494,28.08,652.9803182022054,28.08,632.7106142103472,31.02,1592.553982753411,61.66,1065.1,71.07
G1-789447,True,111.19223775373864,2.2936408211200217,1105.0381404712691,149.1032263865867,6.1969444650478644,0.0,-0.08156386009591905,0.10025575067806955,0.11998270529651532,0.03,0.0,1.0,107.42692832471441,16.73,172.84695964823507,16.73,214.36366883244386,24.69,261.3963487632647,28.08,609.17424904249,28.08,590.0100666284973,31.05,1493.916946075845,61.68,996.7089,71.08
G1-536452,True,76.24197143412596,2.2936520493109924,779.329309557052,30.13462638658666,6.854796900001633,0.0,-0.09085465040475499,0.13633409682256126,0.12497189329829057,0.03,0.0,1.0,107.42694478877456,16.73,172.84697116625622,16.73,214.3637106056806,24.69,261.39628424381584,28.08,532.092516894218,29.5,514.896587549502,31.02,1320.4033099248352,61.66,877.7402999999999,71.07
G1-513513,True,75.11626915731465,2.293721720965408,768.7974435054832,26.512326386586665,7.3429438828450335,0.0,-0.09453458869043596,0.18290201945653495,0.12931201805145393,0.038481321377604655,0.0,1.0,107.42689992481154,16.73,172.84697575681358,16.73,214.36364563439224,24.69,261.39627495289244,28.08,529.5993479847183,29.76,512.467549125076,31.01,1314.7936960711552,61.65,874.1179999999999,71.06
G1-162939,True,75.08330364577817,2.28758076368959,768.5948588173603,25.569926386586644,6.439938720478978,0.0,-0.0818870691614517,0.1589251572101224,0.11474315344793794,0.03,0.0026830275843201107,1.0,107.426931434643,16.73,172.84873898218027,16.73,214.36569671283854,24.69,261.39860160635527,28.08,529.65604208682,29.76,512.3894295360083,31.06,1314.6125053601668,61.68,873.1755999999999,71.08
G1-692760,True,74.4072226613115,2.2702815879440266,762.3495372152378,22.12752638658685,6.727815517859385,0.0,-0.0873304318247147,0.15725896183779411,0.11944718460055141,0.03,0.01032053334098183,1.0,107.42694370274259,16.73,172.85368964511102,16.73,214.37147470736772,24.69,261.4051721246409,28.08,528.4856199221242,29.81,510.8559438462639,31.14,1311.0710793443848,61.72,869.7332000000001,71.11
G1-570248,True,74.06019348403764,2.258911648824551,759.3004660513045,19.452926386586796,6.918807354159963,0.0,-0.0962326625265243,0.11088415236088758,0.13019838427791855,0.03,0.015265880963005286,1.0,107.42693576911155,16.73,172.85697517857366,16.73,214.37517737390075,24.69,261.4095538637647,28.08,527.962984247331,29.87,510.092732261225,31.24,1309.3078633739146,61.78,867.0586000000001,71.16
G1-018203,False,-10067.640789049257,4.346815435843737,717.7597030850403,-63.2939736134133,6.981074845736983,0.02359828170965042,-0.08893727646397978,0.1935917653832357,0.09770803518825706,0.03,0.0,0.9836807331595395,107.23926409122812,16.73,172.60059624233543,16.73,214.07977229428988,24.69,260.0428560551991,28.08,518.6740834747714,28.08,502.355237076746,36.28,1284.811746079968,64.62,784.3117,72.63
G1-922452,False,-10207.78720199978,2.673528386365035,528.700388507123,-205.1136736134133,6.228245237788991,0.03629705041636737,-0.08275269650685153,0.1587474877032372,0.07794698440988444,0.03,0.0,0.9967840866275265,107.39084699613812,16.73,172.7996860840901,16.73,214.3090692583792,24.69,261.1361733939238,28.08,472.81414083124906,34.72,457.460744580372,42.22,1186.506866641947,67.89,642.492,75.65
G1-463344,False,-10214.227161813133,2.291088199718928,760.1447843502951,-211.9360736134132,5.823837754609124,0.02317154807933535,-0.07822836862359617,0.14835178163788715,0.08000045802130851,0.03,0.0011296602002514103,1.0,107.42690627339364,16.73,172.8477626819926,16.73,214.36453606132866,24.69,261.39723112202347,28.08,527.5459440277883,43.51,510.4741680835862,47.72,1310.1878155658046,70.94,635.6696000000001,78.07
