candidate_id,gate_ok_2y,score,trail_scale,threshold_scale,stop_pct,rv_gate,overlay,1m_ret,2m_ret,3m_ret,4m_ret,5m_ret,6m_ret,1y_ret,2y_ret,1m_vsC,2m_vsC,3m_vsC,4m_vsC,5m_vsC,6m_vsC,1y_vsC,2y_vsOV,1y_mdd,2y_mdd
P5-0042,False,-10808.876478443832,1.1,1.1,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,68.73631829327036,119.74074570834934,115.25273313788276,120.76486250945864,263.4722030890084,281.8632070708771,608.8506481436647,807.6308000000001,-38.690586925847356,-53.75827167429016,-99.86220632087765,-141.4953195560277,-163.2159447955848,-45.63514616246414,-224.9794030087412,-41.239599999999655,32.43,57.69
P5-0041,False,-10827.91867999247,1.1,1.1,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,68.73631489595597,119.74075029009144,117.08924707023164,122.64841434247482,266.5732680554784,260.6913481473564,593.9040736022861,817.8858999999999,-38.69059032316174,-53.75826709254805,-98.02569238852877,-139.6117677230115,-160.11487982911478,-66.80700508598483,-239.9259775501198,-30.984499999999912,30.2,58.31
P5-0027,False,-10849.44411358115,1.05,1.1,4.7,72.5,OV_sh7_h1_dd0w20_re1_SOXS,65.97398760681553,117.02882594721557,113.24902965123904,119.15731380793532,261.1944352695451,274.3161687209262,595.9289218115152,798.8952000000002,-41.45291761230219,-56.47019143542393,-101.86590980752136,-143.102868257551,-165.49371261504808,-53.182184512415006,-237.90112934089063,-49.97519999999963,31.54,57.13
P5-0032,False,-10849.44411358115,1.05,1.1,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,65.97398760681553,117.02882594721557,113.24902965123904,119.15731380793532,261.1944352695451,274.3161687209262,595.9289218115152,798.8952000000002,-41.45291761230219,-56.47019143542393,-101.86590980752136,-143.102868257551,-165.49371261504808,-53.182184512415006,-237.90112934089063,-49.97519999999963,31.54,57.13
P5-0057,False,-10864.477977593917,1.1,1.2,5.2,75.0,OV_sh7_h1_dd0w20_re1_SOXS,65.07595303467211,117.1389652063917,113.81416969361528,124.0237120381498,263.79351909647335,281.7212505059123,627.6246492272139,737.5178,-42.3509521844456,-56.36005217624779,-101.30076976514512,-138.23647002733654,-162.89462878811986,-45.77710272742894,-206.20540192519195,-111.35259999999982,39.46,58.75
P5-0062,False,-10866.975823732062,1.15,1.1,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,67.70375357002496,117.50423000945295,112.40896375166312,117.40303383988034,257.5712045675777,274.5124316433308,586.2837552823516,794.8248,-39.723151649092756,-55.99478737318654,-102.70597570709728,-144.857148225606,-169.1169433170155,-52.985921590010435,-247.54629587005422,-54.04559999999981,31.37,56.86
P5-0026,False,-10867.909113146658,1.05,1.1,4.7,72.5,OV_sh6_h1_dd0w20_re1_SOXS,65.97398229823519,117.02883032835376,115.06843676031696,121.02711392477698,264.27607143415275,253.5627485488152,581.2699999550352,809.0717,-41.45292292088253,-56.47018705428573,-100.04650269844345,-141.23306814070935,-162.41207645044045,-73.93560468452603,-252.56005119737063,-39.798699999999826,29.28,57.75
P5-0031,False,-10867.909113146658,1.05,1.1,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,65.97398229823519,117.02883032835376,115.06843676031696,121.02711392477698,264.27607143415275,253.5627485488152,581.2699999550352,809.0717,-41.45292292088253,-56.47018705428573,-100.04650269844345,-141.23306814070935,-162.41207645044045,-73.93560468452603,-252.56005119737063,-39.798699999999826,29.28,57.75
P5-0061,False,-10885.43089504434,1.15,1.1,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,67.70375035119464,117.5041997032506,114.22122489330452,119.25787779761126,260.62198321760366,253.7481797693951,571.7925856196417,804.9073,-39.72315486792307,-55.99481767938889,-100.89371456545588,-143.00230426787508,-166.06616466698955,-73.75017346394611,-262.03746553276414,-43.96309999999983,29.1,57.48
P5-0012,False,-10887.0527661734,1.0,1.1,4.7,72.5,OV_sh7_h1_dd0w20_re1_SOXS,66.99379747735826,119.2559205298143,116.09815540660682,113.0528389763998,251.4922933282196,265.75209601601574,581.0097284885287,794.4803999999999,-40.43310774175946,-54.24309685282519,-99.01678405215358,-149.20734308908652,-175.1958545563736,-61.74625721732548,-252.82032266387716,-54.38999999999987,30.79,56.82
