candidate_id,gate_ok_2y,score,trail_scale,threshold_scale,stop_pct,rv_gate,overlay,1m_ret,2m_ret,3m_ret,4m_ret,5m_ret,6m_ret,1y_ret,2y_ret,1m_vsC,2m_vsC,3m_vsC,4m_vsC,5m_vsC,6m_vsC,1y_vsC,2y_vsOV,1y_mdd,2y_mdd
P5-0052,True,-643.2537088631309,1.1,1.2,4.7,77.5,OV_sh7_h1_dd0w20_re1_SOXS,68.7363120333643,121.95378432610488,120.58465820262474,132.3364485540918,282.5239166982815,301.8788785007118,675.0498892180342,886.1107000000001,-38.690593185753414,-51.54523305653461,-94.53028125613567,-129.92373351139454,-144.16423118631172,-25.619474732629442,-158.78016193437168,37.240300000000275,32.54,55.64
P5-0051,True,-674.749776332274,1.1,1.2,4.7,77.5,OV_sh6_h1_dd0w20_re1_SOXS,68.73632431400762,121.95379366953148,122.46665295471084,134.31868715147465,285.7876546724962,279.5973024586117,658.7074048432376,897.2526,-38.690580905110096,-51.545223713108015,-92.64828650404957,-127.94149491401168,-140.900493212097,-47.901050774729526,-175.12264630916832,48.38220000000024,30.31,56.28
P5-0046,True,-674.7499727883494,1.1,1.2,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,68.73630719679508,121.9537828639972,122.46661724372868,134.31872588274163,285.78757968374106,279.59735581731394,658.7072549196772,848.8703999999998,-38.69059802232263,-51.54523451864229,-92.64832221503173,-127.9414561827447,-140.90056820085215,-47.90099741602728,-175.12279623272866,0.0,33.69,58.2
P5-0036,True,-692.9308513206879,1.05,1.2,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,65.97400240981924,118.99067989916486,120.17065065635136,132.13749419960402,282.5871823500945,277.6042530396324,655.9224825209898,849.4975999999999,-41.45290280929848,-54.508337483474634,-94.94428880240905,-130.1226878658823,-144.1009655344987,-49.89410019370882,-177.9075686314161,0.6272000000001299,32.9,57.66
P5-0077,True,-714.9470171465904,1.2,1.2,4.7,77.5,OV_sh7_h1_dd0w20_re1_SOXS,66.67649439749104,117.90203153617044,116.33711861177284,127.39664625125924,273.6253238080655,290.3310055096306,639.101959135364,849.1842999999999,-40.75041082162667,-55.59698584646905,-98.77782084698757,-134.86353581422708,-153.0628240765277,-37.167347723710634,-194.72809201704183,0.3139000000001033,31.21,54.72
P5-0076,True,-745.2970153646478,1.2,1.2,4.7,77.5,OV_sh6_h1_dd0w20_re1_SOXS,66.67649589681741,117.90202414001976,118.18283701605404,129.336746458381,276.81293645275383,268.68976681151315,623.4197742561571,859.7791000000001,-40.7504093223003,-55.59699324261973,-96.93210244270637,-132.92343560710535,-149.87521143183938,-58.80858642182807,-210.41027689624877,10.908700000000294,28.94,55.38
P5-0047,False,-10653.855101074509,1.1,1.2,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,68.73631883384492,121.95380663432624,120.5846355378888,132.33643860066607,282.52387642396275,301.8789089504203,675.0498103407259,838.2691000000001,-38.690586385272795,-51.54521074831325,-94.5303039208716,-129.92374346482026,-144.16427146063046,-25.619444282920938,-158.78024081167996,-10.601299999999696,35.81,57.59
P5-0037,False,-10671.566181823307,1.05,1.2,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,65.97399801050821,118.9906639541301,118.30807790154952,130.1736939124389,279.35065795640776,299.76879144349505,672.1873313945073,838.8686,-41.4529072086095,-54.508353428509395,-96.80686155721088,-132.08648815304744,-147.33748992818545,-27.729561789846173,-161.6427197578986,-10.001799999999776,35.05,57.03
P5-0067,False,-10698.21076119033,1.15,1.2,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,67.70375319958121,119.91962175164966,119.01203104923916,130.44417551902495,279.02058521334163,296.97785993800625,655.7733085351713,828.1259,-39.7231520195365,-53.579395630989836,-96.10290840952125,-131.81600654646138,-147.66756267125157,-30.520493295334973,-178.0567426172346,-20.74449999999979,34.71,56.73
P5-0066,False,-10718.652792045754,1.15,1.2,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,67.70377631294002,119.91961290101877,120.88059132827414,132.41031210528126,282.25427233381566,274.96821943332714,639.8147199359331,838.5836999999999,-39.72312890617769,-53.57940448162073,-94.23434813048627,-129.84986996020507,-144.43387555077754,-52.530133800014084,-194.01533121647276,-10.286699999999882,32.55,57.36
