ok,idx,attempt,elapsed_sec,window,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,cpu_gpu_diff_bps,gpu_backend,summary_json,strategy_profile,profit_lock_exec_model,runtime_profit_lock_order_type,runtime_stop_price_offset_bps,rebalance_time_ny,slippage_bps,sell_fee_bps,warmup_days,daily_lookback_days,anchor_window_start_equity,daily_synthetic_parity,daily_synthetic_parity_split_adjustment,paper_live_style_daily_synth_profile,cpu_score,gpu_score,combined_score
True,43,1,6.22,2026-03-13 to 2026-03-26,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00043_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,2.0,15:56,1.0,1.0,260,800,False,False,False,False,8.489578639014606,8.489578639014606,8.489578639014606
True,7,1,6.345,2026-03-13 to 2026-03-26,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00007_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,market_order,2.0,15:56,1.0,1.0,260,800,False,False,False,False,8.489578639014606,8.489578639014606,8.489578639014606
True,2,1,6.316,2026-03-13 to 2026-03-26,11226.325853213712,12.263258532137122,1226.3258532137115,7.551571212916311,11226.325853213712,12.263258532137122,1226.3258532137115,7.551571212916311,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00002_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,market_order,2.0,15:55,1.0,0.0,260,800,False,False,False,False,8.487472925678967,8.487472925678967,8.487472925678967
True,38,1,6.014,2026-03-13 to 2026-03-26,11226.325853213712,12.263258532137122,1226.3258532137115,7.551571212916311,11226.325853213712,12.263258532137122,1226.3258532137115,7.551571212916311,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00038_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,2.0,15:55,1.0,0.0,260,800,False,False,False,False,8.487472925678967,8.487472925678967,8.487472925678967
True,39,1,6.216,2026-03-13 to 2026-03-26,11222.958292236295,12.229582922362958,1222.9582922362952,7.553081753736254,11222.958292236295,12.229582922362958,1222.9582922362952,7.553081753736254,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00039_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,2.0,15:55,1.0,1.0,260,800,False,False,False,False,8.453042045494831,8.453042045494831,8.453042045494831
True,3,1,6.247,2026-03-13 to 2026-03-26,11222.958292236295,12.229582922362958,1222.9582922362952,7.553081753736254,11222.958292236295,12.229582922362958,1222.9582922362952,7.553081753736254,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00003_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,market_order,2.0,15:55,1.0,1.0,260,800,False,False,False,False,8.453042045494831,8.453042045494831,8.453042045494831
True,44,1,6.181,2026-03-13 to 2026-03-26,11192.175004146507,11.921750041465074,1192.1750041465075,7.131360920087823,11192.175004146507,11.921750041465074,1192.1750041465075,7.131360920087823,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00044_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,2.0,15:57,0.0,0.0,260,800,False,False,False,False,8.356069581421163,8.356069581421163,8.356069581421163
True,8,1,6.174,2026-03-13 to 2026-03-26,11192.175004146507,11.921750041465074,1192.1750041465075,7.131360920087823,11192.175004146507,11.921750041465074,1192.1750041465075,7.131360920087823,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00008_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,market_order,2.0,15:57,0.0,0.0,260,800,False,False,False,False,8.356069581421163,8.356069581421163,8.356069581421163
True,9,1,6.33,2026-03-13 to 2026-03-26,11188.817687399322,11.888176873993217,1188.8176873993216,7.132787406241206,11188.817687399322,11.888176873993217,1188.8176873993216,7.132787406241206,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00009_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,market_order,2.0,15:57,0.0,1.0,260,800,False,False,False,False,8.321783170872614,8.321783170872614,8.321783170872614
True,45,1,5.998,2026-03-13 to 2026-03-26,11188.817687399322,11.888176873993217,1188.8176873993216,7.132787406241206,11188.817687399322,11.888176873993217,1188.8176873993216,7.132787406241206,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/baseline_runtime_style_top10_10d_20260327/sweep_00045_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,2.0,15:57,0.0,1.0,260,800,False,False,False,False,8.321783170872614,8.321783170872614,8.321783170872614
