cid,fast_signal_threshold,fast_trend_gap_pct,fast_inverse_min_weight,windows,sum_fast_minus_v2_return_pct,sum_fast_minus_v2_maxdd_pct,sum_fast_minus_v2_equity,sum_fast_override_days,avg_fast_minus_v2_return_pct,avg_fast_minus_v2_maxdd_pct,avg_fast_minus_v2_equity,score
FEV1-0001,0.66,6.0,0.8,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0002,0.66,6.0,0.9,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0003,0.66,8.0,0.8,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0004,0.66,8.0,0.9,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0005,0.66,10.0,0.8,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0006,0.66,10.0,0.9,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0007,0.68,6.0,0.8,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0008,0.68,6.0,0.9,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0009,0.68,8.0,0.8,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0010,0.68,8.0,0.9,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0011,0.68,10.0,0.8,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0012,0.68,10.0,0.9,4,116.60647674401437,-11.355342956951286,11660.647674401438,4,29.151619186003593,-2.8388357392378216,2915.1619186003595,33.486198974222866
FEV1-0013,0.7,6.0,0.8,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0014,0.7,6.0,0.9,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0015,0.7,8.0,0.8,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0016,0.7,8.0,0.9,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0017,0.7,10.0,0.8,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0018,0.7,10.0,0.9,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
