cid,window,period,initial_equity,fast_signal_threshold,fast_trend_gap_pct,fast_inverse_min_weight,fast_override_days,v2_final_equity,v2_return_pct,v2_maxdd_pct,v2_events,v2_variant_regimes_seen,fast_final_equity,fast_return_pct,fast_maxdd_pct,fast_events,fast_variant_regimes_seen,fast_minus_v2_equity,fast_minus_v2_return_pct,fast_minus_v2_maxdd_pct
FEV1-0001,10d,2026-03-31 to 2026-04-10,10000.0,0.66,6.0,0.8,1,14521.364165968324,45.21364165968325,6.814576160112525,3,2,16641.85380077716,66.4185380077716,0.006008345115692565,3,2,2120.489634808837,21.204896348088354,-6.808567814996832
FEV1-0001,1m,2026-03-11 to 2026-04-10,10000.0,0.66,6.0,0.8,1,15563.893339653261,55.63893339653261,12.75115604385576,8,2,17836.6188306474,78.36618830647399,11.235564329870941,8,2,2272.7254909941385,22.72725490994138,-1.5155917139848185
FEV1-0001,2m,2026-02-08 to 2026-04-10,10000.0,0.66,6.0,0.8,1,22685.177027107908,126.85177027107906,12.751156043855762,13,2,25997.791613450947,159.97791613450948,11.235564329870945,13,2,3312.6145863430393,33.12614586343042,-1.5155917139848167
FEV1-0001,3m,2026-01-08 to 2026-04-10,10000.0,0.66,6.0,0.8,1,27083.061806713835,170.83061806713835,12.751156043855765,19,3,31037.87976896926,210.37879768969256,11.235564329870945,19,3,3954.8179622554235,39.548179622554215,-1.5155917139848203
FEV1-0002,10d,2026-03-31 to 2026-04-10,10000.0,0.66,6.0,0.9,1,14521.364165968324,45.21364165968325,6.814576160112525,3,2,16641.85380077716,66.4185380077716,0.006008345115692565,3,2,2120.489634808837,21.204896348088354,-6.808567814996832
FEV1-0002,1m,2026-03-11 to 2026-04-10,10000.0,0.66,6.0,0.9,1,15563.893339653261,55.63893339653261,12.75115604385576,8,2,17836.6188306474,78.36618830647399,11.235564329870941,8,2,2272.7254909941385,22.72725490994138,-1.5155917139848185
FEV1-0002,2m,2026-02-08 to 2026-04-10,10000.0,0.66,6.0,0.9,1,22685.177027107908,126.85177027107906,12.751156043855762,13,2,25997.791613450947,159.97791613450948,11.235564329870945,13,2,3312.6145863430393,33.12614586343042,-1.5155917139848167
FEV1-0002,3m,2026-01-08 to 2026-04-10,10000.0,0.66,6.0,0.9,1,27083.061806713835,170.83061806713835,12.751156043855765,19,3,31037.87976896926,210.37879768969256,11.235564329870945,19,3,3954.8179622554235,39.548179622554215,-1.5155917139848203
FEV1-0003,10d,2026-03-31 to 2026-04-10,10000.0,0.66,8.0,0.8,1,14521.364165968324,45.21364165968325,6.814576160112525,3,2,16641.85380077716,66.4185380077716,0.006008345115692565,3,2,2120.489634808837,21.204896348088354,-6.808567814996832
FEV1-0003,1m,2026-03-11 to 2026-04-10,10000.0,0.66,8.0,0.8,1,15563.893339653261,55.63893339653261,12.75115604385576,8,2,17836.6188306474,78.36618830647399,11.235564329870941,8,2,2272.7254909941385,22.72725490994138,-1.5155917139848185
FEV1-0003,2m,2026-02-08 to 2026-04-10,10000.0,0.66,8.0,0.8,1,22685.177027107908,126.85177027107906,12.751156043855762,13,2,25997.791613450947,159.97791613450948,11.235564329870945,13,2,3312.6145863430393,33.12614586343042,-1.5155917139848167
FEV1-0003,3m,2026-01-08 to 2026-04-10,10000.0,0.66,8.0,0.8,1,27083.061806713835,170.83061806713835,12.751156043855765,19,3,31037.87976896926,210.37879768969256,11.235564329870945,19,3,3954.8179622554235,39.548179622554215,-1.5155917139848203
