candidate_id,score,short_penalty_sum,short_excess_sum,long_diff_2y_vs_OV,trail_scale,threshold_scale,stop_pct,rv_gate,mom_thr,rv_cap,strict_overlay,light_overlay,1m_ret,1m_mdd,2m_ret,2m_mdd,3m_ret,3m_mdd,4m_ret,4m_mdd,5m_ret,5m_mdd,6m_ret,6m_mdd,1y_ret,1y_mdd,2y_ret,2y_mdd
P4-0053,-1230.2684578504377,700.9252578504393,0.0,-132.3357999999996,1.1,1.2,4.7,77.5,8.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73631464920453,10.01,121.9538230571573,25.97,123.1574304175969,26.58,135.04629193844093,26.58,286.9854236137836,26.58,306.56622690662266,26.58,602.9468279630989,32.58,716.5346000000002,56.28
P4-0055,-1230.2684578504377,700.9252578504393,0.0,-132.3357999999996,1.1,1.2,4.7,77.5,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73631464920453,10.01,121.9538230571573,25.97,123.1574304175969,26.58,135.04629193844093,26.58,286.9854236137836,26.58,306.56622690662266,26.58,602.9468279630989,32.58,716.5346000000002,56.28
P4-0042,-1230.6464359643487,722.2148359643497,0.0,-127.10789999999974,1.1,1.2,4.7,77.5,8.0,7.5,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73630289651196,10.01,121.95382296308641,25.97,123.1574279403243,26.58,135.04629204561672,26.58,286.98547725756146,26.58,280.77596025440596,26.58,607.4474770744877,30.31,721.7625,56.28
P4-0044,-1230.6464359643487,722.2148359643497,0.0,-127.10789999999974,1.1,1.2,4.7,77.5,10.0,7.5,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73630289651196,10.01,121.95382296308641,25.97,123.1574279403243,26.58,135.04629204561672,26.58,286.98547725756146,26.58,280.77596025440596,26.58,607.4474770744877,30.31,721.7625,56.28
P4-0051,-1271.0987816744673,643.2539816744683,0.0,-156.96119999999974,1.1,1.2,4.7,77.5,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.73630991038904,10.01,121.95380421149578,26.59,120.58463301455382,27.2,132.33643121422324,27.2,282.52399139995197,27.2,301.8788977714986,27.2,675.0495471997634,43.76,691.9092,63.02
P4-0015,-1424.7779955359304,643.2539955359314,0.0,-195.38099999999974,1.1,1.2,4.7,75.0,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.73629628136699,10.01,121.95379231136533,26.59,120.58465856761696,27.2,132.33644640800026,27.2,282.5238706375928,27.2,301.87880316835367,27.2,675.0497334861168,46.49,653.4894,64.64
P4-0057,-1466.6983435649104,653.0591435649112,0.0,-203.4097999999998,1.1,1.2,4.7,77.5,8.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd8w20_re1_SOXS,68.73633684042788,10.01,121.95383890271891,25.97,123.15745421213622,26.58,137.99136800709766,26.58,298.6017455989742,26.58,318.770093460044,26.58,624.047615810034,37.96,645.4606,59.77
P4-0043,-1493.2904983106848,768.7304983106853,0.0,-181.13999999999987,1.1,1.2,4.7,77.5,10.0,6.0,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73633206311722,10.01,121.95379253620659,25.97,123.15746148309974,26.58,135.0463246725494,26.58,286.9854637945756,26.58,280.77596459920665,26.58,560.9317589369036,34.17,667.7303999999999,56.28
P4-0041,-1493.2904983106848,768.7304983106853,0.0,-181.13999999999987,1.1,1.2,4.7,77.5,8.0,6.0,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73633206311722,10.01,121.95379253620659,25.97,123.15746148309974,26.58,135.0463246725494,26.58,286.9854637945756,26.58,280.77596459920665,26.58,560.9317589369036,34.17,667.7303999999999,56.28
P4-0039,-1532.37267153035,715.0962715303509,0.0,-204.31909999999982,1.1,1.2,4.7,77.5,10.0,6.0,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.73630315960473,10.01,121.95378611568289,26.59,120.58465571314892,27.2,132.33648242774117,27.2,282.5240428952275,27.2,276.38616328928225,27.2,628.6998912653057,43.76,644.5513,63.02
P4-0059,-1543.4929249575496,679.2289249575504,0.0,-216.0659999999998,1.1,1.2,4.7,77.5,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd8w20_re1_SOXS,68.73630666350135,10.01,121.95378736664075,25.97,123.15743955173883,26.58,137.99142677406962,26.58,291.8344081801358,26.58,311.6603440556503,26.58,611.7549588470571,37.96,632.8044,59.77
P4-0049,-1599.3585631882124,703.1441631882132,0.0,-224.05359999999985,1.1,1.2,4.7,77.5,8.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.73631580895525,10.01,121.95380969004353,26.59,120.58462090940351,27.2,132.33645950265503,27.2,282.52399823308406,27.2,301.8789401021307,27.2,615.1592889618589,44.22,624.8168,63.32
P4-0056,-1616.5348663711136,790.5576663711142,0.0,-206.49429999999984,1.1,1.2,4.7,77.5,10.0,7.5,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73629854194326,10.01,121.95383666015691,25.97,123.15744890119076,26.58,135.04629680932743,26.58,286.98557514872107,26.58,280.7759894134302,26.58,539.1044845504604,30.31,642.3761,56.28
P4-0054,-1616.5348663711136,790.5576663711142,0.0,-206.49429999999984,1.1,1.2,4.7,77.5,8.0,7.5,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73629854194326,10.01,121.95383666015691,25.97,123.15744890119076,26.58,135.04629680932743,26.58,286.98557514872107,26.58,280.7759894134302,26.58,539.1044845504604,30.31,642.3761,56.28
P4-0019,-1637.2564580643739,796.8884580643748,0.0,-210.09199999999976,1.1,1.2,4.7,75.0,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73632032151282,10.01,121.95382155989307,25.97,112.20184811728546,26.58,123.50704545784583,26.58,267.986985591404,26.58,286.6063261277743,26.58,568.4367911562539,35.85,638.7784,58.2
P4-0017,-1637.2564580643739,796.8884580643748,0.0,-210.09199999999976,1.1,1.2,4.7,75.0,8.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73632032151282,10.01,121.95382155989307,25.97,112.20184811728546,26.58,123.50704545784583,26.58,267.986985591404,26.58,286.6063261277743,26.58,568.4367911562539,35.85,638.7784,58.2
