candidate_id,score,trail_scale,threshold_scale,rv_gate,mom_thr,rv_cap,strict_overlay,light_overlay,1m_ret,2m_ret,3m_ret,4m_ret,5m_ret,6m_ret,1y_ret,2y_ret,1m_vsC,2m_vsC,3m_vsC,4m_vsC,5m_vsC,6m_vsC,1y_vsC,2y_vsOV,1y_mdd,2y_mdd
P4-0059,-1543.4929249575496,1.1,1.2,77.5,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd8w20_re1_SOXS,68.73630666350135,121.95378736664075,123.15743955173885,137.99142677406962,291.8344081801358,311.6603440556503,611.7549588470571,632.8044,-38.69059855561636,-51.54523001599874,-91.95749990702156,-124.26875529141671,-134.85373970445738,-15.838009177690935,-222.0750923053488,-216.0659999999998,37.96,59.77
P4-0049,-1599.3585631882124,1.1,1.2,77.5,8.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.73631580895525,121.95380969004351,120.58462090940353,132.33645950265503,282.52399823308406,301.8789401021307,615.1592889618589,624.8168,-38.69058941016246,-51.54520769259598,-94.53031854935688,-129.9237225628313,-144.16414965150915,-25.619413131210536,-218.67076219054695,-224.05359999999985,44.22,63.32
P4-0056,-1616.5348663711136,1.1,1.2,77.5,10.0,7.5,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73629854194326,121.95383666015692,123.15744890119076,135.04629680932743,286.98557514872107,280.7759894134302,539.1044845504604,642.3761,-38.69060667717446,-51.54518072248257,-91.95749055756964,-127.2138852561589,-139.70257273587214,-46.72236381991104,-294.7255666019455,-206.49429999999984,30.31,56.28
P4-0054,-1616.5348663711136,1.1,1.2,77.5,8.0,7.5,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73629854194326,121.95383666015692,123.15744890119076,135.04629680932743,286.98557514872107,280.7759894134302,539.1044845504604,642.3761,-38.69060667717446,-51.54518072248257,-91.95749055756964,-127.2138852561589,-139.70257273587214,-46.72236381991104,-294.7255666019455,-206.49429999999984,30.31,56.28
P4-0019,-1637.256458064374,1.1,1.2,75.0,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73632032151282,121.95382155989309,112.20184811728546,123.50704545784583,267.986985591404,286.6063261277743,568.4367911562539,638.7784,-38.69058489760489,-51.54519582274641,-102.91309134147494,-138.7531366076405,-158.7011622931892,-40.89202710556691,-265.393259996152,-210.09199999999976,35.85,58.2
P4-0017,-1637.256458064374,1.1,1.2,75.0,8.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73632032151282,121.95382155989309,112.20184811728546,123.50704545784583,267.986985591404,286.6063261277743,568.4367911562539,638.7784,-38.69058489760489,-51.54519582274641,-102.91309134147494,-138.7531366076405,-158.7011622931892,-40.89202710556691,-265.393259996152,-210.09199999999976,35.85,58.2
P4-0006,-1638.580099604255,1.1,1.2,75.0,8.0,7.5,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73633926441785,121.95383413028829,112.20188259590572,123.50705158940704,267.9869832588872,262.08248373569404,572.7165222174873,643.5085000000001,-38.69056595469986,-51.54518325235121,-102.91305686285469,-138.7531304760793,-158.70116462570599,-65.41586949764718,-261.1135289349186,-205.36189999999965,33.69,58.2
P4-0008,-1638.580099604255,1.1,1.2,75.0,10.0,7.5,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73633926441785,121.95383413028829,112.20188259590572,123.50705158940704,267.9869832588872,262.08248373569404,572.7165222174873,643.5085000000001,-38.69056595469986,-51.54518325235121,-102.91305686285469,-138.7531304760793,-158.70116462570599,-65.41586949764718,-261.1135289349186,-205.36189999999965,33.69,58.2
P4-0003,-1676.8613288218253,1.1,1.2,75.0,10.0,6.0,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.7363088995696,121.9538214654742,120.58468107922631,132.33643321159457,282.524003961153,276.386140165669,628.7000787918312,608.4291000000001,-38.69059631954812,-51.54519591716529,-94.53025837953409,-129.92374885389177,-144.16414392344018,-51.1122130676722,-205.1299723605747,-240.44129999999973,46.49,64.64
P4-0045,-1714.763841728623,1.1,1.2,77.5,8.0,6.0,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd8w20_re1_SOXS,68.73633193735729,121.95381464296976,123.15741079172147,137.99139107454695,298.6016897102379,292.2058460631095,580.7712704477774,600.9044,-38.69057328176042,-51.54520273966973,-91.95752866703893,-124.26879099093938,-128.0864581743553,-35.292507170231715,-253.05878070462848,-247.96599999999978,39.43,59.77
