candidate_id,score,trail_scale,threshold_scale,rv_gate,mom_thr,rv_cap,strict_overlay,light_overlay,1m_ret,2m_ret,3m_ret,4m_ret,5m_ret,6m_ret,1y_ret,2y_ret,1m_vsC,2m_vsC,3m_vsC,4m_vsC,5m_vsC,6m_vsC,1y_vsC,2y_vsOV,1y_mdd,2y_mdd
P4-0053,-1230.2684578504377,1.1,1.2,77.5,8.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73631464920453,121.9538230571573,123.1574304175969,135.04629193844093,286.9854236137836,306.56622690662266,602.9468279630989,716.5346000000002,-38.690590569913184,-51.5451943254822,-91.9575090411635,-127.2138901270454,-139.7027242708096,-20.93212632671856,-230.88322318930693,-132.3357999999996,32.58,56.28
P4-0055,-1230.2684578504377,1.1,1.2,77.5,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73631464920453,121.9538230571573,123.1574304175969,135.04629193844093,286.9854236137836,306.56622690662266,602.9468279630989,716.5346000000002,-38.690590569913184,-51.5451943254822,-91.9575090411635,-127.2138901270454,-139.7027242708096,-20.93212632671856,-230.88322318930693,-132.3357999999996,32.58,56.28
P4-0042,-1230.6464359643487,1.1,1.2,77.5,8.0,7.5,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73630289651196,121.9538229630864,123.1574279403243,135.04629204561672,286.98547725756146,280.775960254406,607.4474770744877,721.7625,-38.690602322605756,-51.5451944195531,-91.9575115184361,-127.21389001986961,-139.70267062703175,-46.722392978935204,-226.3825740779182,-127.10789999999974,30.31,56.28
P4-0044,-1230.6464359643487,1.1,1.2,77.5,10.0,7.5,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73630289651196,121.9538229630864,123.1574279403243,135.04629204561672,286.98547725756146,280.775960254406,607.4474770744877,721.7625,-38.690602322605756,-51.5451944195531,-91.9575115184361,-127.21389001986961,-139.70267062703175,-46.722392978935204,-226.3825740779182,-127.10789999999974,30.31,56.28
P4-0051,-1271.098781674467,1.1,1.2,77.5,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.73630991038904,121.95380421149578,120.58463301455382,132.33643121422324,282.523991399952,301.8788977714986,675.0495471997634,691.9092,-38.690595308728675,-51.545213171143715,-94.53030644420659,-129.9237508512631,-144.16415648464118,-25.61945546184262,-158.78050395264245,-156.96119999999974,43.76,63.02
P4-0015,-1424.7779955359304,1.1,1.2,75.0,10.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.73629628136699,121.95379231136532,120.58465856761696,132.33644640800026,282.5238706375928,301.87880316835367,675.0497334861168,653.4894,-38.690608937750724,-51.545225071274174,-94.53028089114345,-129.92373565748608,-144.16427724700043,-25.61955006498755,-158.78031766628908,-195.38099999999974,46.49,64.64
P4-0057,-1466.6983435649104,1.1,1.2,77.5,8.0,6.0,OV_sh7_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd8w20_re1_SOXS,68.73633684042788,121.95383890271891,123.15745421213622,137.99136800709766,298.6017455989742,318.770093460044,624.047615810034,645.4606,-38.69056837868983,-51.54517847992058,-91.95748524662419,-124.26881405838867,-128.086402285619,-8.728259773297225,-209.78243534237185,-203.4097999999998,37.96,59.77
P4-0043,-1493.2904983106848,1.1,1.2,77.5,10.0,6.0,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73633206311722,121.9537925362066,123.15746148309974,135.0463246725494,286.9854637945756,280.77596459920665,560.9317589369036,667.7303999999999,-38.6905731560005,-51.54522484643289,-91.95747797566067,-127.21385739293694,-139.7026840900176,-46.722388634134575,-272.89829221550224,-181.13999999999987,34.17,56.28
P4-0041,-1493.2904983106848,1.1,1.2,77.5,8.0,6.0,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh4_h0_dd0w20_re1_SOXS,68.73633206311722,121.9537925362066,123.15746148309974,135.0463246725494,286.9854637945756,280.77596459920665,560.9317589369036,667.7303999999999,-38.6905731560005,-51.54522484643289,-91.95747797566067,-127.21385739293694,-139.7026840900176,-46.722388634134575,-272.89829221550224,-181.13999999999987,34.17,56.28
P4-0039,-1532.37267153035,1.1,1.2,77.5,10.0,6.0,OV_sh6_h1_dd0w20_re1_SOXS,OV_sh0_h0_dd0w20_re1_SOXS,68.73630315960473,121.95378611568287,120.58465571314892,132.33648242774117,282.5240428952275,276.38616328928225,628.6998912653057,644.5513,-38.69060205951298,-51.54523126695662,-94.53028374561148,-129.92369963774516,-144.16410498936568,-51.11218994405897,-205.13015988710015,-204.31909999999982,43.76,63.02
