file,exec_requested,order_type,dsp,pldsp,anch,exec_effective,cpu_final,cpu_return_pct,cpu_maxdd_pct,cpu_events,diff_final,diff_ret_pp,exact
combo_1y_exec_synthetic_ot_stop_order_dsp_on_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,stop_order,on,off,on,synthetic,80451.4057495455,704.514057495455,15.507584535836601,263,4570.053251439618,45.70053251439606,False
combo_1y_exec_synthetic_ot_stop_order_dsp_on_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,stop_order,on,on,off,synthetic,80451.4057495455,704.514057495455,15.507584535836601,263,4570.053251439618,45.70053251439606,False
combo_1y_exec_synthetic_ot_stop_order_dsp_on_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,stop_order,on,on,on,synthetic,80451.4057495455,704.514057495455,15.507584535836601,263,4570.053251439618,45.70053251439606,False
combo_1y_exec_synthetic_ot_trailing_stop_dsp_off_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,trailing_stop,off,on,off,synthetic,80451.4057495455,704.514057495455,15.507584535836601,263,4570.053251439618,45.70053251439606,False
combo_1y_exec_synthetic_ot_trailing_stop_dsp_off_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,trailing_stop,off,on,on,synthetic,80451.4057495455,704.514057495455,15.507584535836601,263,4570.053251439618,45.70053251439606,False
combo_1y_exec_synthetic_ot_trailing_stop_dsp_on_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,trailing_stop,on,off,on,synthetic,80451.4057495455,704.514057495455,15.507584535836601,263,4570.053251439618,45.70053251439606,False
combo_1y_exec_synthetic_ot_trailing_stop_dsp_on_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,trailing_stop,on,on,off,synthetic,80451.4057495455,704.514057495455,15.507584535836601,263,4570.053251439618,45.70053251439606,False
combo_1y_exec_synthetic_ot_trailing_stop_dsp_on_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,synthetic,trailing_stop,on,on,on,synthetic,80451.4057495455,704.514057495455,15.507584535836601,263,4570.053251439618,45.70053251439606,False
combo_1y_exec_market_close_ot_close_position_dsp_off_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,close_position,off,off,on,market_close,33555.65542417533,235.55655424175336,31.212248208014284,547,-42325.697073930554,-423.25697073930553,False
combo_1y_exec_market_close_ot_market_order_dsp_off_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_order,off,off,on,market_close,33555.65542417533,235.55655424175336,31.212248208014284,547,-42325.697073930554,-423.25697073930553,False
