date,cpu_equity,cpu_pnl,cpu_return_pct,cpu_drawdown_usd,cpu_drawdown_pct,cpu_day_fall_usd,cpu_day_fall_pct,gpu_equity,gpu_pnl,gpu_return_pct,gpu_drawdown_usd,gpu_drawdown_pct,gpu_day_fall_usd,gpu_day_fall_pct,cpu_gpu_diff_bps,sale_time_stock,new_purchase_time_stock
2026-02-27,9999.000099990002,-0.999900009997873,-0.00999900009998056,0.999900009997873,0.00999900009997873,0.999900009997873,0.00999900009997873,9999.000099990002,-0.999900009997873,-0.00999900009998056,0.999900009997873,0.00999900009997873,0.999900009997873,0.00999900009997873,0.0,no change,15:55 | SOXS
2026-03-02,9999.555630858384,0.5555308683815383,0.0055558642146902315,0.4443691416163347,0.0044436914161633465,0.0,0.0,9999.555630858384,0.5555308683815383,0.0055558642146902315,0.4443691416163347,0.0044436914161633465,0.0,0.0,0.0,no change,no change
2026-03-03,11499.693224264569,1500.1375934061853,15.002042578540165,0.0,0.0,0.0,0.0,11499.693224264569,1500.1375934061853,15.002042578540165,0.0,0.0,0.0,0.0,0.0,no change,no change
2026-03-04,10749.835824178967,-749.8574000856024,-6.520673077638184,749.8574000856024,6.520673077638186,749.8574000856024,6.520673077638186,10749.835824178967,-749.8574000856024,-6.520673077638184,749.8574000856024,6.520673077638186,749.8574000856024,6.520673077638186,0.0,no change,no change
2026-03-05,11596.691435691157,846.8556115121901,7.877846930530863,0.0,0.0,0.0,0.0,11596.691435691157,846.8556115121901,7.877846930530863,0.0,0.0,0.0,0.0,0.0,13:08 | SOXS,15:55 | SOXS
2026-03-06,12404.36057854716,807.6691428560025,6.964651489908902,0.0,0.0,0.0,0.0,12404.36057854716,807.6691428560025,6.964651489908902,0.0,0.0,0.0,0.0,0.0,09:30 | SOXS,15:55 | SOXL
2026-03-09,13717.199506709945,1312.838928162786,10.583688855621375,0.0,0.0,0.0,0.0,13717.199506709945,1312.838928162786,10.583688855621375,0.0,0.0,0.0,0.0,0.0,15:41 | SOXL,15:55 | SOXL
2026-03-10,14532.375385235817,815.1758785258717,5.94272816493715,0.0,0.0,0.0,0.0,14532.375385235817,815.1758785258717,5.94272816493715,0.0,0.0,0.0,0.0,0.0,14:14 | SOXL,15:55 | SOXL
2026-03-11,15051.040932063019,518.665546827202,3.569034882997446,0.0,0.0,0.0,0.0,15051.040932063019,518.665546827202,3.569034882997446,0.0,0.0,0.0,0.0,0.0,no change,15:55 | SOXS
2026-03-12,16186.662532876268,1135.6216008132487,7.5451366183853175,0.0,0.0,0.0,0.0,16186.662532876268,1135.6216008132487,7.5451366183853175,0.0,0.0,0.0,0.0,0.0,10:02 | SOXS,15:55 | SOXL
2026-03-13,16299.765585112375,113.10305223610703,0.698742263924923,0.0,0.0,0.0,0.0,16299.765585112375,113.10305223610703,0.698742263924923,0.0,0.0,0.0,0.0,0.0,no change,no change
2026-03-16,17483.717401951748,1183.9518168393734,7.263612538825415,0.0,0.0,0.0,0.0,17483.717401951748,1183.9518168393734,7.263612538825415,0.0,0.0,0.0,0.0,0.0,10:38 | SOXL,15:55 | SOXL
2026-03-17,17835.279770116107,351.5623681643592,2.010798733941521,0.0,0.0,0.0,0.0,17835.279770116107,351.5623681643592,2.010798733941521,0.0,0.0,0.0,0.0,0.0,no change,no change
2026-03-18,17727.85793539922,-107.42183471688622,-0.6022996897243948,107.42183471688622,0.6022996897243901,107.42183471688622,0.6022996897243901,17727.85793539922,-107.42183471688622,-0.6022996897243948,107.42183471688622,0.6022996897243901,107.42183471688622,0.6022996897243901,0.0,no change,no change
2026-03-19,17900.38391236877,172.52597696954763,0.9731913330885078,0.0,0.0,0.0,0.0,17900.38391236877,172.52597696954763,0.9731913330885078,0.0,0.0,0.0,0.0,0.0,no change,no change
2026-03-20,16518.548493056067,-1381.8354193127016,-7.719585379159854,1381.8354193127016,7.7195853791598505,1381.8354193127016,7.7195853791598505,16518.548493056067,-1381.8354193127016,-7.719585379159854,1381.8354193127016,7.7195853791598505,1381.8354193127016,7.7195853791598505,0.0,no change,no change
2026-03-23,18028.43797104729,1509.8894779912225,9.140569939458887,0.0,0.0,0.0,0.0,18028.43797104729,1509.8894779912225,9.140569939458887,0.0,0.0,0.0,0.0,0.0,07:13 | SOXL,15:55 | SOXS
2026-03-24,17505.00756739247,-523.4304036548201,-2.9033597059014316,523.4304036548201,2.903359705901429,523.4304036548201,2.903359705901429,17505.00756739247,-523.4304036548201,-2.9033597059014316,523.4304036548201,2.903359705901429,523.4304036548201,2.903359705901429,0.0,no change,no change
2026-03-25,16802.8477489243,-702.1598184681679,-4.011194029850751,1225.590222122988,6.798094344563964,702.1598184681679,4.011194029850746,16802.8477489243,-702.1598184681679,-4.011194029850751,1225.590222122988,6.798094344563964,702.1598184681679,4.011194029850746,0.0,no change,no change
2026-03-26,18294.988249387818,1492.1405004635162,8.880283406478174,0.0,0.0,0.0,0.0,18294.988249387818,1492.1405004635162,8.880283406478174,0.0,0.0,0.0,0.0,0.0,11:05 | SOXS,15:55 | SOXL
2026-03-27,17398.724281261042,-896.2639681267756,-4.898958971218614,896.2639681267756,4.8989589712186135,896.2639681267756,4.8989589712186135,17398.724281261042,-896.2639681267756,-4.898958971218614,896.2639681267756,4.8989589712186135,896.2639681267756,4.8989589712186135,0.0,no change,no change
