window,start_date,end_date,baseline_final_equity,baseline_pnl,baseline_return_pct,baseline_maxdd_pct,rule_final_equity,rule_pnl,rule_return_pct,rule_maxdd_pct,delta_pnl_rule_minus_baseline,delta_return_pct_rule_minus_baseline,delta_maxdd_pct_rule_minus_baseline,rule_active_days,trading_days
1m,2026-02-27,2026-03-27,17398.724281261042,7398.724281261042,73.98724281261042,7.5530817537362465,15979.683131708165,5979.683131708165,59.79683131708165,11.364017463017664,-1419.041149552877,-14.190411495528771,3.8109357092814173,20,21
2m,2026-01-27,2026-03-27,21725.776397542526,11725.776397542526,117.25776397542526,7.553081753736239,17574.69918129142,7574.69918129142,75.7469918129142,11.364017463017658,-4151.077216251106,-41.51077216251106,3.810935709281419,35,43
3m,2025-12-27,2026-03-27,15868.866394526023,5868.866394526023,58.688663945260224,22.48755322051755,19075.367154588344,9075.367154588344,90.75367154588345,11.36401746301768,3206.500760062321,32.065007600623225,-11.123535757499871,37,62
6m,2025-09-27,2026-03-27,20603.116135121472,10603.116135121472,106.03116135121473,26.932288154941784,23014.537765906978,13014.537765906978,130.1453776590698,26.40536444025064,2411.421630785506,24.11421630785506,-0.5269237146911436,72,125
1y,2025-03-27,2026-03-27,35651.229260428874,25651.229260428874,256.51229260428875,26.932288154941766,54627.339486311575,44627.339486311575,446.27339486311575,26.405364440250622,18976.1102258827,189.761102258827,-0.5269237146911436,123,252
